Score,8d458780fb74c28c01a5fe89990ad521,d7f381cd99ca40ba3324c8cc03a54269,112b0ac22b2a567cd3badfed3a5497fd,a6d7268b35eec18656a85ad91b0413e9,ec84eecb124c63d4757e083dd0e5a9ff,578b5e6a2f0b295168cb6c5420810a72,644fd765d26bd4a380922ccd0f594c58,2dd4b14a8a820e7baa073554ae2c6cb0,6aacae96461cb65176942b6dc88ea470,ff867fd35aa52058382a8b0c21cd1f38,fa5c6d6736a42650656c5bc018413254,b3840e295097a13e6697fff6be813eeb,23c4e178c94c0dff82ea6c87abed7ecc,8704094951693f99fd21403a039c8131,2c3c28f6d939d157e909c57a265fc908,99d134de6323a845a2828596a48bbb1d,fe8b1ef742724947620a419d0180a640,87ec32f70c5e3a279e636f7f62e70a19,1156429862d3c03160406d6d1a786f11,03e9d1abe418a1727bbf2ead77d69d02,964162c1faee2c1e3a4dfa4f9c75c34f,54ab5a53d2fdfcda16ec74768b29f901,41457ee03686b32962c12445524f62a9,eaf2f0803dd2045f1b189ee834ef0c8f,751afd7ddf8f242ed7bd93517ba82149,189e5991b041a89700513106988e720d,d17aa530bbd09452b0f32daf4ab9c8f0,fb5d0254bc4b8d258eb84ea1dbcdda13,cd86fbfd8b7e0d66ec5fe8fe85c014d3
86206.22617125511,130.24481463432312,841.2623090744019,1573.111926317215,190.3474681377411,294.19110679626465,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,377.068546295166,3600,3600
91365.96267795563,389.5761947631836,3600,288.3793089389801,3600,100.79082942008972,3600,3600,3600,3600,3600,3600,3600,3600,587.216344833374,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
70538.42830824852,15.373051404953003,125.1048641204834,30.69545340538025,502.55385994911194,161.7681303024292,1566.9325983524323,326.78189277648926,3600,3600,3600,3600,3600,3600,96.9355890750885,1206.1810739040375,3600,3600,3600,3600,3600,3600,3600,877.1040542125702,3600,3600,3600,828.9977407455444,3600,3600
75966.51538085938,51.09207320213318,133.32691192626953,54.56677269935608,368.3576748371124,51.794440269470215,958.1432819366455,3600,3600,3600,3600,3600,3600,3600,237.46722888946533,3600,3600,326.8438138961792,3600,3600,3600,3600,3600,1784.9231832027435,3600,3600,3600,3600,3600,3600
77566.03086972237,19.212565898895264,121.26275944709778,52.22138285636902,565.6294956207275,103.60882544517517,1415.4110288619995,3600,3600,3600,3600,3600,3600,3600,215.40485787391663,3600,3600,1728.9111907482147,3600,3600,3600,3600,3600,1344.3687629699707,3600,3600,3600,3600,3600,3600
68129.88087153435,8.015838384628296,27.305660486221313,52.80123734474182,176.57195711135864,34.82269763946533,373.2212152481079,302.9466063976288,3600,3600,3600,3600,3600,3600,170.19140434265137,1122.6698870658875,3600,608.3838539123535,3600,3600,3600,3600,3600,452.9505136013031,3600,3600,3600,3600,3600,3600
81766.20460653305,88.53700876235962,123.1709508895874,200.99257802963257,794.8675496578217,829.0220713615417,3600,1662.780720949173,3600,3600,3600,3600,3600,3600,985.3505330085754,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,1481.4831938743591,3600,3600
68031.08523893356,20.20764446258545,29.03178644180298,36.3644163608551,570.1952452659607,99.3740119934082,1286.0130186080933,524.2712025642395,3600,3600,3600,3600,3600,3600,420.12862825393677,1289.9365661144257,3600,849.4597170352936,3600,3600,3600,3600,3600,901.2040767669678,3600,3600,3600,804.8989250659943,3600,3600
85814.76278972626,120.53523397445679,288.32423639297485,143.7957968711853,3600,230.34674668312073,3600,3600,3600,3600,3600,3600,3600,3600,623.5507173538208,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,1608.2100584506989,3600,3600
92190.57334756851,110.2227132320404,407.0541799068451,215.96388816833496,3600,1457.3325662612915,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
