Score,26114429758a203d651f4df87c94de4c,4282ea42fd414bfd2c4bf81fe8a43e24,0c9da400944b002f90fd385d4fdab385,da43a3ef0ef5d34143e765d480dedc7a,74931e82fd208ed949fa44bccd80df6b,accf33a84bdf211bebbd2111fb7f6b91,9cd3acdb765c15163bc239ae3a57f880,5411047bc24f4321f0e490e01e4a0910,f18c7c7b8666458fd04ea7a253ae1e20,328da7966b09b2f6e99c93c4e877fbff,2b60f9be1439f63b7f174c6b8ca7fedf,63732c330adb8de8dd47ce1693b86d0e,8d2dfc50c1759dc11a6564d5c368c6df,2e808d215e4155379a847b146ef38b34,41f4cb4992a481c9d43e2e1a4e2349ac,ee57608ea4b74f25aebca809d59711c9,48539e7e4baae6db72cda7e8a9cecfa0,c7bf3517f47d583ae567de3db3708969,6543793076c30fc7cdfa5a3c819cedc7
47095.35692214966,7.896000385284424,43.63353109359741,34.31022238731384,49.328045129776,83.62541222572327,76.56371092796326,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
37278.0000910759,5.790488958358765,25.928001880645752,36.3353705406189,50.4415967464447,67.50092840194702,72.60576796531677,503.87339973449707,326.7004597187042,3600,3600,3600,3600,3600,3600,188.824077129364,3600,3600,3600,3600
41317.44929623604,30.568960189819336,34.5780074596405,32.85048818588257,51.522122859954834,79.89095211029053,78.01666736602783,3600,527.9491322040558,3600,3600,3600,3600,3600,3600,882.0729658603668,3600,3600,3600,3600
40219.200358867645,4.879515171051025,50.32236886024475,69.86081576347351,66.78925108909607,103.62200355529785,113.57753324508667,20.449307680130005,189.69956350326538,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
63142.225219249725,170.66876745224,1771.5564517974854,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
37148.855221271515,4.784775018692017,45.80705118179321,49.59547567367554,58.88020896911621,108.04259014129639,123.90699505805969,187.31647157669067,177.77461075782776,392.7470428943634,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
51326.33670115471,3600,393.9258313179016,41.250990867614746,3600,84.2708752155304,86.11631655693054,3600,3600,320.77268719673157,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
40007.039222955704,7.368832349777222,46.75029706954956,34.36489534378052,43.13368535041809,33.376102447509766,36.67816781997681,33.57329964637756,171.7939429283142,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
37072.79287314415,6.186940431594849,48.51823019981384,51.595433473587036,61.9690625667572,112.36681127548218,122.76902842521667,39.22089648246765,158.05941462516785,472.1070556640625,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
40222.602940797806,4.579730272293091,51.64410591125488,56.36459469795227,61.81606340408325,107.96002626419067,117.17867732048035,36.259066104888916,186.80067682266235,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
