Score,f296fe701a562022c0de0cf565fbca7d,475803537529d9d14a034957f48a6d38,19e2c3a0865c8c1b4543d11213bebe5f,c3e53c353f30d9e2eb54ed93d6ce4f02,57f4ea7ab160d996e38e69fac59869c4,edceb8782e72e290fa54757dbfdd0173,8b18bb75459a4161633ba2a3c8ee183e,eddd68e14d69cce7190b99f4e7abdafb,9d9c4fa425282759eb9e98b82fb5f56e,bbfed8974655bca520259deb10d2347b,14e4cfcf0d83b2185fad41684d00d4dc,a45a0358685867bd4f1c7f7c0b0e379c,ded23680dfeab2879c05bc0e4de21126,915a25bd189357e4c6d7771b69a6849f,3a75ad246dbc750a7391ad887c5b0835,e08f11f0a3bd266ee5c78ce332de107f,f376d4c191518ed704326960b6b19a4b,c6568fc8805127e876c4c23551bf49fa,b44ea915362c3a140269003d45b1d053,f45e5faf1bcccbdd3065dd6367c3bd16,697c96ac45534726c7dbd96faa11a86a,5865fb9a6575d2ae6542c36ab96646a9,af05a6b68a1cff165b684d9ff0ae3b3b,c0e6e6eeebd48ca600cfc7d662fa804c,54c2da6d387a6f5ad6e014ae4d4decfc,0265448c232e3a25aa5bcd29b1b14567,aa9b67fd19d54ad51b93ee4ba5dc75fc,195852083a05edee1902233698eec14a,5e1c11b77cdf3717b81b957120f0f477,df1bd67978b9b0ec1d326ba174bc273c,09b61bbf19748094a7d896aac314ab36,1507d9812624b3e0eaf15e40100be020
12844.44782614708,35.57138538360596,83.44667339324951,72.71813726425171,54.307130575180054,73.73139190673828,95.81997537612915,1031.2926497459412,1.908714771270752,314.48097920417786,2.723931074142456,394.4367060661316,78.40604734420776,70.99591565132141,117.53324794769287,197.54749298095703,271.23462557792664,357.14133191108704,353.5116047859192,246.24515223503113,316.4578740596771,827.3070273399353,480.49607706069946,1455.1433718204498,396.72439193725586,329.64627623558044,475.3042240142822,471.356463432312,508.8599944114685,689.7272908687592,828.3722524642944,584.0385203361511,1627.9609689712524
13247.155246257782,15.926083087921143,36.949663400650024,30.456618309020996,42.76413154602051,34.86322999000549,38.01056218147278,37.79728651046753,2.5764377117156982,77.69213223457336,38.691972970962524,36.30749273300171,39.997485399246216,47.705273389816284,61.19677019119263,187.58627223968506,207.65088367462158,187.78566908836365,156.78625512123108,590.399507522583,160.27332997322083,897.6949951648712,13.483867645263672,183.84818482398987,284.56705045700073,151.8788878917694,339.45064067840576,492.02806282043457,337.18159890174866,46.6945378780365,1268.9103627204895,3600,3600
54180.2098903656,94.937260389328,121.34086465835571,137.5262553691864,176.89531636238098,121.64588236808777,230.8197889328003,1052.8048470020294,3600,3600,13.890840530395508,3600,550.0846540927887,187.72175669670105,273.8010082244873,1348.5190720558167,689.3735401630402,731.5992300510406,531.3799171447754,3600,528.3106026649475,3600,3600,3600,1118.0440752506256,278.021671295166,1072.653151512146,1720.8401556015015,3600,3600,3600,3600,3600
10600.891093969345,23.979905366897583,65.85197257995605,59.10621213912964,71.95450067520142,58.19433641433716,72.11717414855957,269.384548664093,6.255896091461182,396.26991391181946,78.89364266395569,1047.6494405269623,56.43508219718933,110.07209086418152,109.61360573768616,39.3882839679718,196.9504804611206,191.32624912261963,180.93534564971924,7.415864706039429,251.50035166740417,103.01229476928711,27.8318133354187,300.66972064971924,219.12567925453186,45.63538217544556,314.02470874786377,343.34667110443115,328.19502782821655,983.9697315692902,366.3198297023773,3600,675.4653372764587
22261.1455180645,39.61298942565918,85.6080071926117,65.32954812049866,168.9854440689087,70.06751108169556,118.33876943588257,1410.9417028427124,128.49715614318848,3600,72.18953084945679,220.1522626876831,44.15120315551758,106.0817015171051,118.44136357307434,11.571588277816772,340.1823389530182,296.9491717815399,474.20204067230225,247.2335822582245,389.77727603912354,1067.8804020881653,1003.9754762649536,731.6367495059967,344.33534145355225,4.149317264556885,513.7583572864532,519.95166182518,1377.6051452159882,726.4770503044128,3600,3600,763.0628287792206
61808.00905704498,142.79402422904968,175.98588275909424,159.42243194580078,144.46217155456543,304.5267765522003,535.1175727844238,3600,446.03942012786865,3600,109.73960280418396,3600,353.99306535720825,374.91587018966675,1205.5182676315308,1014.1497576236725,1378.0498497486115,3600,939.4157149791718,861.873708486557,3600,3600,3600,3600,3600,573.9403684139252,3600,1462.3991770744324,3600,3600,1225.66539478302,3600,3600
100286.97691607475,389.10994362831116,1063.3733398914337,1482.5935084819794,1793.4332249164581,3600,3600,3600,3600,3600,3600,3600,1108.141197681427,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,850.3257014751434,3600,3600,3600,3600,3600,3600,3600
13048.673879861832,22.408072471618652,53.21192407608032,35.281291246414185,69.89314770698547,44.088223695755005,57.83412432670593,752.8194897174835,34.18969941139221,212.25927472114563,9.055281162261963,423.69369673728943,77.17192196846008,67.09155416488647,100.94108724594116,25.826887130737305,247.52764749526978,253.18578004837036,283.109304189682,360.4234371185303,166.62419176101685,927.680008649826,814.1297986507416,488.3289842605591,227.14442420005798,95.56435823440552,334.92078971862793,506.2493155002594,498.15823245048523,149.7486572265625,553.866269826889,3600,1556.2470047473907
95248.08570027351,235.1289563179016,1019.6146273612976,3600,1047.6657259464264,3600,3600,3600,3600,3600,3600,3600,1230.1985790729523,1425.9284536838531,3600,53.78900718688965,3600,3600,3600,3600,3600,3600,3600,3600,3600,235.76035070419312,3600,3600,3600,3600,3600,3600,3600
8161.873623847961,17.607375621795654,56.30814266204834,35.69164180755615,35.83784103393555,40.17275428771973,58.76926302909851,1.6120295524597168,123.5249810218811,723.0888731479645,1.632075548171997,602.5039825439453,160.7936658859253,45.1535804271698,95.74890065193176,26.674767017364502,213.84922552108765,209.76943635940552,139.5398588180542,228.83783507347107,204.79109382629395,463.74349904060364,571.8468682765961,98.05827355384827,258.4322247505188,206.59961009025574,279.1040518283844,517.5917444229126,26.074638605117798,679.8366684913635,186.90416312217712,135.6422734260559,1716.1322844028473
