Score,3ed56242f55e3653dbceeb4a70221787,e067414e153ee98a7842bd6d6dafeee5,5e5fe73a2e0ffc8e19873298566919fb,71a3dd6156463c0c55c4b38394faa753,e99e266b422513a2898c13898a1de501,c9f511adbb3d6e1b37b410f972f270c6,7429e380834066c206394139c9e1e17d,0bad2ce307bf5b68db26fa34e252c9d4,16c27d738cb45b766b8823ca4f428cf0,82d9e8d2cfea101dfe52c8359b7bb163,1a1c9d1dc1ae7fcff92e3c3499864b75,f16b7329ef5728f722c291156b3b098e,94571e8a1081385029d1ecd53ffcdf8e,170a7d847694ee4cfa5c421757672882,be18894105e006399cc018abc14b204f,695e287a447fcdd924985a6e73057a38,38833d6a1ff6a56ef22bd2dc1e3fdde7,1b0f4ff7984b8d4cf2873200fb1680fb,14ea5857d75ae2b235a3ba97373ea732
24801.223586320877,161.61939358711243,832.6142179965973,1070.3418436050415,371.7779037952423,35.16455054283142,263.8595480918884,121.87432765960693,3600,3600,529.7308037281036,510.60251688957214,759.0773067474365,844.7993392944336,976.0023300647736,1096.8456645011902,3600,3600,1370.5530672073364,1456.3607726097107
17001.010820150375,482.1611924171448,612.7963435649872,48.027578830718994,342.700968503952,181.52050256729126,259.2662150859833,128.6812710762024,343.0936312675476,547.3443665504456,464.95585441589355,397.9653809070587,795.788416147232,840.5744452476501,824.2427616119385,378.3176414966583,3600,3600,1621.5412793159485,1532.0329711437225
19561.27175617218,51.929909229278564,227.66565227508545,3600,67.51546692848206,125.23488903045654,254.3548927307129,237.22467303276062,77.4228880405426,754.1124970912933,436.78703260421753,408.34705662727356,667.746954202652,1067.7768068313599,790.4455986022949,392.2169997692108,3600,3600,1492.7305159568787,1709.7599232196808
25351.97414803505,82.38574457168579,155.30140852928162,3600,127.41412687301636,6.823794841766357,236.9317057132721,286.6531376838684,73.89659476280212,184.50593280792236,626.9431879520416,518.0849151611328,1099.9317605495453,1120.6630110740662,1073.9140949249268,1758.5247325897217,3600,3600,3600,3600
23656.82333135605,83.02736282348633,38.12540674209595,86.04532289505005,65.01454210281372,12.629552841186523,313.2337417602539,67.87175965309143,3600,112.93278479576111,577.30109333992,507.44506335258484,848.5822062492371,978.046555519104,1012.6595652103424,953.9083740711212,3600,3600,3600,3600
22393.16172194481,22.255736827850342,50.18274903297424,287.00028586387634,540.0473809242249,16.66157841682434,268.60010409355164,254.9251914024353,92.95388436317444,602.0558125972748,615.5769102573395,617.0005130767822,1255.8810234069824,980.3721420764923,1500.6218342781067,889.0265753269196,3600,3600,3600,3600
19661.39147090912,139.60162019729614,63.76649260520935,634.15243268013,754.2499947547913,124.41164803504944,221.8912444114685,64.60109066963196,633.6424758434296,240.56923460960388,564.8800439834595,593.1996381282806,1069.0619723796844,980.5641236305237,1123.0630736351013,139.98585486412048,3600,1513.7505304813385,3600,3600
23163.06196784973,221.9825131893158,1191.7029964923859,269.92927265167236,616.2114610671997,81.96575832366943,354.8658301830292,506.49734258651733,1112.5750603675842,1039.8178532123566,546.0301475524902,404.6300485134125,999.3252403736115,967.8314764499664,995.0744667053223,1422.3826875686646,3600,3600,3600,1632.2398126125336
17099.82262277603,226.25839829444885,420.98078322410583,893.5300674438477,257.067236661911,4.786298990249634,216.71633219718933,118.59318089485168,1142.7891850471497,81.56962442398071,386.4024829864502,329.224232673645,703.3150219917297,658.0600211620331,702.7535262107849,871.056111574173,3600,3600,1463.1446409225464,1423.5754780769348
22184.728723287582,48.51812672615051,164.7014923095703,1709.2641413211823,712.4497792720795,208.07060194015503,344.7633547782898,78.92732954025269,1533.0463218688965,62.99315023422241,714.2414045333862,572.9981510639191,862.2129204273224,1262.7052536010742,997.1756167411804,339.9585540294647,3600,3600,1772.7025249004364,3600
