Score,82fe0a5b2467d6e5299c315da8b16ec5,c9f7ca549a6773bea4628e2c66f597c6,8ade10da9731ce31d103c1687ff40a3d,fab0db1ab0dd5baa3215aab51ab69355,c115ebeec47bb82fa7f9850a632ec94a,41c39c9a2d75ca50b603ea7c3d86106a,18babbd2835b8a37c6299f8b0301c7c9,1d1af993697599892804df5878d58979,96e01064ac3b644143278c21859e201f,d8fa4265b93d0931ba6484e3cc0d7ab1,f08b3567642ea029452fff2c1d10c132,19c6a29181bee2f3aa03bfb5c5d693d0
11151.27733540535,0.08464980125427246,0.0896902084350586,0.09484744071960449,0.09303522109985352,0.12674188613891602,0.12647271156311035,0.10670685768127441,0.11668968200683594,350.4385015964508,3600,3600,3600
10861.513247728348,0.08355307579040527,0.08327341079711914,0.09794187545776367,0.09314131736755371,0.10210895538330078,0.10351109504699707,0.10675597190856934,0.11425948143005371,60.728702545166016,3600,3600,3600
14401.004013299942,0.09664487838745117,0.14182686805725098,0.10632824897766113,0.11673331260681152,0.13018441200256348,0.13494372367858887,0.13591241836547852,0.14143943786621094,3600,3600,3600,3600
8158.227010011673,0.09801292419433594,0.09555482864379883,0.10614013671875,0.11491608619689941,0.17793917655944824,0.14016175270080566,0.13634061813354492,0.14566659927368164,3.4048688411712646,3600,3600,953.8074090480804
10811.600468158722,0.08450698852539062,0.08484840393066406,0.09883332252502441,0.0942990779876709,0.14972996711730957,0.10488319396972656,0.10833621025085449,0.11578774452209473,10.759243249893188,3600,3600,3600
8034.145353794098,0.09866857528686523,0.0951087474822998,0.10546016693115234,0.11770296096801758,0.18427515029907227,0.12932205200195312,0.1318378448486328,0.15292930603027344,46.35307812690735,3600,3600,786.7769708633423
3366.916620016098,0.08151721954345703,0.08262920379638672,0.09436559677124023,0.09893035888671875,0.10604095458984375,0.1305840015411377,0.10607719421386719,0.11304879188537598,24.204798698425293,701.2387490272522,1602.4689424037933,1038.1909365653992
14400.878107070923,0.0920875072479248,0.09150004386901855,0.10365772247314453,0.11348319053649902,0.11229634284973145,0.11901998519897461,0.11894035339355469,0.1271219253540039,3600,3600,3600,3600
10813.861370563507,0.09836149215698242,0.09386730194091797,0.10619997978210449,0.11427474021911621,0.12015748023986816,0.13086819648742676,0.13357853889465332,0.14130854606628418,12.922754287719727,3600,3600,3600
7441.922844171524,0.09833407402038574,0.09833264350891113,0.10867738723754883,0.12428903579711914,0.1308906078338623,0.14198970794677734,0.1374526023864746,0.1488056182861328,39.07884192466736,3600,3600,201.85523056983948
10803.839631319046,0.09784483909606934,0.09805989265441895,0.1059567928314209,0.11130309104919434,0.16919994354248047,0.13042163848876953,0.1298065185546875,0.14588284492492676,2.8511557579040527,3600,3600,3600
14401.003045797348,0.09790778160095215,0.09835195541381836,0.10541439056396484,0.11388111114501953,0.1704542636871338,0.13842439651489258,0.1342027187347412,0.1444091796875,3600,3600,3600,3600
10812.002067804337,0.09706735610961914,0.09848403930664062,0.10814857482910156,0.12126684188842773,0.1712501049041748,0.14139842987060547,0.1351776123046875,0.14483070373535156,10.98444414138794,3600,3600,3600
14400.99275803566,0.09968781471252441,0.09453535079956055,0.1033928394317627,0.11867260932922363,0.16562795639038086,0.13641786575317383,0.12822341918945312,0.14620018005371094,3600,3600,3600,3600
10803.825485229492,0.09824180603027344,0.09661746025085449,0.10574865341186523,0.11995387077331543,0.16428375244140625,0.13255620002746582,0.1291193962097168,0.14499115943908691,2.833972930908203,3600,3600,3600
6969.437900543213,0.09931349754333496,0.09446144104003906,0.10694313049316406,0.11946630477905273,0.12879586219787598,0.13716602325439453,0.13554739952087402,0.14313650131225586,709.121707201004,3600,874.1067736148834,1785.2445895671844
14400.948365688324,0.09893608093261719,0.0988001823425293,0.10685586929321289,0.11766719818115234,0.11656332015991211,0.13625264167785645,0.1283574104309082,0.14493298530578613,3600,3600,3600,3600
9959.124156951904,0.08734631538391113,0.08144879341125488,0.0952754020690918,0.10104751586914062,3600,0.11016535758972168,0.10884332656860352,0.11380577087402344,3600,1205.9661741256714,1020.8804404735565,531.5796098709106
14403.181095838547,0.29128241539001465,0.2189948558807373,0.25731444358825684,0.2402358055114746,0.7184128761291504,0.5019476413726807,0.331646203994751,0.6212615966796875,3600,3600,3600,3600
4729.275974035263,0.08313751220703125,0.08211779594421387,0.09570074081420898,0.09896159172058105,4.644914388656616,0.10582113265991211,0.10644006729125977,0.11691117286682129,200.89907503128052,583.4071824550629,3600,339.63571214675903
9511.878592967987,0.0825345516204834,0.0849001407623291,0.09510517120361328,0.09575390815734863,3600,0.10516834259033203,0.10747528076171875,0.11624979972839355,3600,301.63900351524353,1179.708991765976,829.8434104919434
8581.59831237793,0.08279991149902344,0.0861814022064209,0.09665036201477051,0.09838438034057617,0.10681009292602539,0.10533761978149414,0.10480070114135742,0.11806726455688477,88.76614451408386,3600,1292.0331361293793,3600
