Score,62c763bdf8d351b15df3a4d62a03eba0,d3893e43819a907055a84e48a6ee97ba,c8e64404361f2426490d39459832c66a,282a02a1743eb47c6b340e52ecce40a2,aceab5a3452e2901e645065bda3e8847,812926407774771b3bd9885f7bfa4841,0cace8a29a1d6b225a8da561d35e8f5a,c6e03256680b96b52e3345a497333c2b,26b648475cfd06695a17ac95f4469744,210fe1c0ffefde5bcd03d59b1efa6984,88e89266e58f1f125ebc4e0f66e2c060,a14d9ee17051ec08a4334ba43089502c,385042a6042a0df5ddfec6e17f285ae7,e371cd7cdde3e7ccb9834290fd4a92d0,0a02751cacf5e1cdfcc842a7f220199f,778e0fd8f034b7cfd539b1b523ed4c4a,38ca761a5808eace8bc8f1fcfdb5b5a8,5ab3040d8617bf9f4d4cef4e56dcfd03,1545660e72158c7e90da5ad4c877a124,e06be7a69dbd6d6866a2799cd40c4bfe,0ae0c5a4fb9001d63669a0aa5b592167,8d4b50ec0cf99097e9ab0835937afee5,912ce8c21d8fb8abc491cb205ec23e9f,f70788e8446c1bc42684316de0a6c164,b76fa2f50a42120ec54fa98c29113326,3663000b31a5c80922afc6e48322accb,31bb67fe67e57dbeb8c4819b01892588,017ba03ed108f492c9293c7c95e5cae9,25447f441df2f134223d3e43319c99ad,f0426369f61595aee97055965ee7e6a3,dacb03ea801d459ef08db23a8b1d104f,e38601380bfbab35dd8c5927283533fb
75397.30592274666,3600,3600,23.66818642616272,71.10169005393982,93.16719269752502,124.9907009601593,153.43400835990906,83.7640027999878,302.1175923347473,502.83607840538025,61.86045455932617,543.5096628665924,730.2788650989532,706.5774881839752,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
71491.9169793129,3600,3600,5.040686368942261,28.823475122451782,38.281728744506836,42.561413049697876,49.36483860015869,157.7982439994812,90.96192026138306,46.88962435722351,66.7751886844635,39.927565813064575,694.6089460849762,170.78194332122803,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,1660.1014049053192
38118.32136845589,1.061870813369751,3600,15.643769264221191,336.3791651725769,445.599716424942,510.75175285339355,820.6416711807251,187.78815174102783,89.30310463905334,146.7094316482544,360.12813091278076,139.39401578903198,730.0893132686615,161.93547773361206,0.21102619171142578,3600,3600,3600,0.28871870040893555,1.5184340476989746,3600,8.472394466400146,0.31288766860961914,1.4630317687988281,3600,1.2797174453735352,5.53576135635376,3600,3600,2.0861525535583496,3600,1751.7276728153229
72176.41635751724,3600,3600,5.0102198123931885,28.792405128479004,38.40088129043579,43.503865003585815,48.54674768447876,83.78518295288086,221.8062241077423,660.6989514827728,158.9999406337738,39.81966161727905,873.6457054615021,177.88965439796448,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,1395.5169179439545
36350.88516497612,2.0713419914245605,3600,4.913705348968506,28.80814480781555,38.211610078811646,43.330628633499146,48.21588969230652,86.62929892539978,361.8520596027374,675.4180240631104,514.1879169940948,40.99027609825134,773.4481189250946,436.0076687335968,0.9559726715087891,3600,3600,3600,0.5552730560302734,5.991381883621216,3600,24.175885438919067,0.9679660797119141,4.0620505809783936,3600,1633.2876975536346,7.488821744918823,3600,1680.3338296413422,3.043602705001831,3600,1135.9379997253418
80267.93830657005,3600,3600,45.8716926574707,29.22032117843628,39.247955083847046,45.74388813972473,49.39086151123047,377.30429553985596,661.5126531124115,3600,977.9654977321625,1012.6764485836029,1417.9311451911926,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,11.073547840118408,3600,3600,3600,3600,3600,3600
69268.9154613018,0.2903168201446533,0.5855240821838379,34.81797790527344,22.074360370635986,29.433411836624146,33.507718086242676,38.109851598739624,308.538786649704,423.1233026981354,615.5044302940369,403.95977425575256,848.5556817054749,963.2552199363708,747.1591050624847,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
41116.16982984543,0.9737536907196045,3600,11.375186443328857,166.70243787765503,224.82951188087463,253.82696628570557,286.91004753112793,84.47258353233337,304.6474766731262,714.2216930389404,342.8841326236725,96.1690182685852,886.5621275901794,505.3777918815613,0.21802163124084473,3600,3600,3600,0.28900671005249023,1.4612557888031006,3600,8.208732604980469,0.31781744956970215,1.4511604309082031,3600,3600,5.686777114868164,3600,3600,2.026477098464966,3600,1217.5578536987305
39039.34569978714,0.28571414947509766,0.5908377170562744,28.13034176826477,21.930460691452026,30.147088050842285,33.807629108428955,36.638840675354004,1529.6169798374176,237.75985884666443,265.2216923236847,165.32401084899902,386.20176577568054,3600,279.5740466117859,0.23535776138305664,3600,3600,3600,0.3006870746612549,1.656123161315918,3600,9.4541916847229,0.34508633613586426,1.6538569927215576,3600,1.9133903980255127,6.1948230266571045,3600,3600,2.362916946411133,3600,3600
41152.30367588997,0.9464316368103027,3600,97.8172254562378,201.688889503479,272.9504678249359,298.836932182312,346.87771344184875,92.81329870223999,675.7989590167999,264.29584765434265,253.44305038452148,535.2376718521118,1268.307504415512,283.04722261428833,0.21607494354248047,3600,3600,3600,0.2900724411010742,1.4762341976165771,3600,8.36184811592102,0.3060290813446045,1.410776138305664,3600,540.5905442237854,5.421197175979614,3600,3600,2.169684886932373,3600,3600
