Score,04e219c640ed59dc68ea2d50493de5b5,c0293283432a9b15cd743702163f5184,897acc1858ce0887f286aba5c0d56d71,3728fe50d8038c639c2d9c84e04fe2b1,8fa526d20599ca8c3d613e9066d62e61,bd0b055b890a9ace598a0c4aba40de30,0ef0d91d378eab41ba6fb9dfc9b87fc8,6077d4e5f755124ddc84068d6ccb630f,8cfc8e99d31bcaf18ff3360b08c8521c
16179.457919836044,327.12489438056946,23.70915174484253,3600,500.72251296043396,549.6381511688232,378.2632095813751,3600,3600,3600
22883.637478113174,3600,3600,3600,328.64971446990967,471.7570641040802,483.23069953918457,3600,3600,3600
26694.69105195999,3600,3600,3600,72.36147332191467,3600,3600,3600,1422.3295786380768,3600
20191.631960868835,507.08556365966797,10.151816606521606,3600,491.4193661212921,3600,3600,3600,1182.9752144813538,3600
21793.531682014465,6.680227279663086,11.902032375335693,3600,174.94942235946655,3600,3600,3600,3600,3600
19646.498725891113,0.7466998100280762,9.00195026397705,3600,50.240832567214966,3600,3600,3600,1586.5092432498932,3600
20110.871499300003,133.02809596061707,0.9370970726013184,3600,406.2775399684906,3600,3600,3600,1570.628766298294,3600
16652.354119062424,22.450016975402832,105.76285481452942,3600,1035.962168455124,683.9339952468872,404.24508357048035,3600,3600,3600
19970.793704509735,13.405597925186157,95.88892674446106,3600,403.12930607795715,3600,3600,3600,1458.3698737621307,3600
16233.497474908829,658.3554821014404,190.39635920524597,3600,18.90616273880005,469.8253526687622,496.0141181945801,3600,3600,3600
19810.62959766388,0.7510218620300293,30.655811071395874,3600,225.30651569366455,3600,3600,3600,1553.916249036789,3600
32400,3600,3600,3600,3600,3600,3600,3600,3600,3600
19782.117177963257,0.7510290145874023,126.40069079399109,3600,203.36437344551086,3600,3600,3600,1451.6010847091675,3600
30028.40571498871,3600,3600,3600,1228.4057149887085,3600,3600,3600,3600,3600
19785.177379608154,227.39571142196655,34.275214433670044,3600,258.33172726631165,3600,3600,3600,1265.174726486206,3600
26532.81354188919,3600,3600,3600,49.350608110427856,3600,3600,3600,1283.4629337787628,3600
19704.04267835617,0.74800705909729,127.69132471084595,3600,203.53740119934082,3600,3600,3600,1372.0659453868866,3600
26740.123264074326,3600,3600,3600,44.56632089614868,3600,3600,3600,1495.5569431781769,3600
21824.782182455063,4.826460123062134,10.333062887191772,3600,209.62265944480896,3600,3600,3600,3600,3600
14537.575728654861,56.33814811706543,28.89481782913208,3600,308.058536529541,1076.802416563034,955.4247848987579,3600,1312.057024717331,3600
14830.038944244385,56.6504647731781,28.528611660003662,3600,311.87795519828796,1220.916353225708,981.8040814399719,3600,1430.261477947235,3600
26029.342274188995,726.8503861427307,3600,3600,102.49188804626465,3600,3600,3600,3600,3600
26793.321189165115,3600,3600,3600,10.91430926322937,1582.406879901886,3600,3600,3600,3600
14633.27998638153,56.24879217147827,27.90768074989319,3600,312.35760498046875,1250.2477009296417,953.885142326355,3600,1232.6330652236938,3600
14690.89320397377,55.98860955238342,27.790891647338867,3600,310.417601108551,1230.726082086563,950.614976644516,3600,1315.3550429344177,3600
19688.84237384796,129.43420886993408,3600.0,3600.0,120.46096467971802,797.1643929481506,641.7828073501587,3600.0,3600.0,3600.0
