Score,d0364ea3e1680c6da7e982e6b0264af6,ae9522ea003ea9f75891b2d37a5e264b,af750c18578d52e60472315692ad83c0,f746dae2050dd4aa48bcd53e8bd897b4,39fba35826ce8c87cd8e8de1969b2dd2,01966a0fc52b2200a13f5f835275a919,6f4df706246d29bf38adadd274fadab3,2b3de92685792ae19e4549b5c4571e27,39277cab188349aee0f229cb7341b5c5
13434.815009355545,0.014510631561279297,0.025153160095214844,8.074854612350464,3600,3600,3600,1343.7411077022552,448.16988348960876,834.7894997596741
19074.29265999794,0.013804197311401367,0.02535557746887207,1.528473138809204,3600,3600,3600,1072.7250270843506,3600,3600
19060.739021539688,0.015963077545166016,0.025233983993530273,3.715317726135254,3600,3600,3600,1056.9825067520142,3600,3600
9394.08031129837,0.01636362075805664,0.02479243278503418,16.952389240264893,384.8734407424927,3600,3600,1546.324563741684,105.39323830604553,140.4955232143402
9405.599489688873,0.015735864639282227,0.025223493576049805,8.783108472824097,428.9490473270416,3600,3600,1500.1318395137787,104.44670724868774,163.2478277683258
9409.554388999939,0.013551950454711914,0.02469611167907715,8.534736633300781,427.3062596321106,3600,3600,1506.1371047496796,104.54164624214172,162.9963936805725
18894.00270009041,0.015018224716186523,0.024710893630981445,7.026023864746094,3600,3600,3600,3600,886.9369471073151,3600
9675.08818411827,0.0159757137298584,0.0248868465423584,15.84244704246521,635.290647983551,3600,3600,1503.409260749817,112.75219249725342,207.7527732849121
9681.620626688004,0.01629018783569336,0.02516794204711914,16.31649422645569,642.8534710407257,3600,3600,1503.5879130363464,112.86451077461243,205.95677947998047
9302.686379432678,0.0150146484375,0.024309635162353516,23.9145610332489,227.65101599693298,3600,3600,1556.876482963562,101.29993677139282,192.90505838394165
10701.567146062851,0.0325982570648193,0.1410882472991943,8.219224691390991,1506.0403127670288,3600.0,3600.0,1541.1565799713137,140.53211736679077,305.4452247619629
