Score,72c0d81e16d91bcaed808efcde2e5069,eed5189b73738270ae3fdb8b33bf31c8,d40a68825bdbcdd7642b249325a7b6a2,461df1a7056560279d532bc2743022b6,77b7f7bbf75faaee28f473b9941de103,12b4a08e412a3bffb513ca65639c7c69,773f3bd29e202ff700d8b5b459857a2c,30f0db845937bbda3ffde60e5ed4cb3f,ef16970ab9da31165d3c401ff9b29168,b3167d999edd81291f33636464f2f8e6,e7248b57a310ad461924eb17956cdf3a
2840.6153609752655,56.82817840576172,61.6219277381897,122.19264650344849,253.56507301330566,58.859803676605225,52.95058989524841,129.88926935195923,890.3820893764496,127.00677514076233,469.75836062431335,617.5606472492218
2592.8755147457123,49.64523792266846,49.832807540893555,50.14237689971924,112.54057002067566,202.54348611831665,47.28299331665039,109.54112601280212,398.02725315093994,534.2567760944366,732.6436545848846,306.419233083725
2599.969062805176,49.518059730529785,49.52117919921875,50.22345185279846,112.64511513710022,201.76282620429993,47.26387810707092,110.0290641784668,398.7111909389496,535.2538726329803,735.0070607662201,310.0333640575409
2598.963479042053,49.71753120422363,49.46047925949097,50.13011717796326,113.2895119190216,203.52204847335815,47.50853228569031,110.53416132926941,399.63680601119995,540.4399812221527,727.1932773590088,307.53103280067444
2500.4113624095917,50.366270780563354,105.67633318901062,51.112144947052,334.2035620212555,50.336196184158325,264.3091630935669,51.23023700714111,492.7266592979431,18.97178053855896,608.1055359840393,473.3734793663025
2592.696762084961,49.47844624519348,49.6930992603302,49.936413049697876,112.33433723449707,202.56375217437744,47.038992404937744,110.9439013004303,401.7775602340698,533.4441142082214,727.7127034664154,307.77344250679016
2513.090062379837,50.46749186515808,104.60668158531189,51.177388191223145,335.26648569107056,50.089930295944214,266.4627773761749,50.7956907749176,493.2836079597473,18.901468992233276,610.8929102420807,481.14562940597534
39600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
1885.2138786315918,50.29653263092041,148.4024212360382,50.44956970214844,112.6953239440918,109.5001654624939,49.96525311470032,116.69842624664307,501.4719970226288,323.44843077659607,317.1943893432617,105.09136915206909
1473.782987833023,16.177697896957397,136.70834636688232,105.17183303833008,99.63276481628418,17.10710048675537,48.31257438659668,98.82595682144165,289.23310804367065,292.37795853614807,190.30037999153137,179.9352674484253
1886.5096743106842,50.49184823036194,148.531391620636,50.58405256271362,112.12303161621094,111.87495970726013,49.887850761413574,115.03104281425476,502.6766166687012,324.8765766620636,315.52265334129333,104.90965032577515
1882.1317691802979,50.241063594818115,148.3673906326294,50.281710624694824,112.93365550041199,108.89981603622437,50.029072999954224,114.71991181373596,503.4734778404236,322.3178434371948,316.1938154697418,104.67401123046875
2731.2911241054535,57.073490858078,60.6103892326355,122.41163301467896,253.91371083259583,59.25115776062012,52.77793836593628,129.74654388427734,879.2706863880157,126.50123429298401,374.9412045478821,614.7931349277496
2433.932600259781,49.434677600860596,108.27839064598083,31.24049210548401,111.42635321617126,204.2469983100891,113.35762286186218,109.14488935470581,330.9298710823059,54.18927001953125,620.1032745838165,701.5807604789734
2109.2757544517517,44.80428719520569,104.04069519042969,73.92943096160889,190.68734288215637,100.01855778694153,45.85780906677246,96.25104594230652,496.9189598560333,328.9577097892761,140.58011746406555,487.22979831695557
5856.576498270035,97.84428811073303,98.77878260612488,101.4699182510376,1613.6389939785004,185.7855167388916,171.7913315296173,176.76376128196716,1672.8880789279938,305.3872332572937,719.9752712249756,712.2533223628998
5846.2273235321045,97.94253444671631,98.43977379798889,101.9722626209259,1592.6805996894836,185.5843071937561,172.05090522766113,177.44117188453674,1680.2085800170898,308.7823693752289,717.7531588077545,713.3716604709625
