Score,945d67baeb7860df648ab6ef4782d5ed,3ff114cc7bee4f39fa56a0325e605c2d,9811b95bfd5888014d27e6dd384ff502,bd19da88800086971e554e9d66bc641d,05ed64e4e6229f446082752936768489,2eb039a5aa6bfb6e41d3afd41071ca55,a58b8a5eb61d3110d9fa36a03de588d2,5cb1ca8fe8a9d9125ea9accd498445f1,db4a0d4ba26c46d66ad6cdcb0645a4d9,7b9d8b9b31b530effd634f5a8f1f4411,e84b00b1f134e0e071a2baf54cfc90e8,55199d55fa9c3751a525d6c0a0e649bd,7b4622a3ab523264378a560199de47ed,67b4844c4bfbaf961cbbd79b953aa5c2,aa4a861240c0c39b5aa44602133ae5e1,4d7f6efbae05b66ffbbd509a430d57f8,40737c2f46512069d54b0d2bb3b47a20,9c7043290cee8127c3626d8067759267,8b31606e10656ff7eb2936262b647443,ea827f81bd0e9735739adc0d9da1b446,f15ad4206d95a3f8f1358b33301539be,ae7e391be73431e5dddf2bbafe95758a,1f6cf91464c6a19022144774b162a3cc,d7f2e4ec8e631387c928c79e1054c663,953e9ff735bdf5ada27b0ab2b908b6af,d3daba681653ea969bedf0c4a2fdb947,4611cd26b441b8c5866e4a2c5a7952dc,8270ae50e6f2881136868db6d3a88eee,2a4680a801ad32ab8768030250daf0c8,8db36208fc6ce43b4002cf048c549b3f,b86f2425cafeb1239d65bd529e372e02,d5f6b2092795aad67d1df1fd3a329552
29374.302883148193,383.6327567100525,191.22947311401367,201.2545292377472,176.18546605110168,257.9450161457062,109.73654961585999,213.2234046459198,358.45448994636536,386.9599223136902,275.49437189102173,228.6590325832367,775.0694181919098,209.50722074508667,591.0916473865509,421.6820101737976,451.92509961128235,253.73422384262085,683.4937100410461,178.78605151176453,389.47239327430725,409.3429310321808,641.0577583312988,345.7918207645416,973.6778333187103,845.6691348552704,326.99255561828613,3600,3600,3600,3600,3600,1094.2340621948242
75301.13318777084,3600,342.5674777030945,260.8739867210388,681.3874638080597,326.39016556739807,1187.2940154075623,343.06280875205994,1075.724739074707,609.5600008964539,1000.6874916553497,1032.585286617279,1289.048373222351,3600,1014.3795506954193,3600,3600,420.31267166137695,3600,3600,3600,917.2591559886932,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
43207.02012038231,439.2014071941376,163.02438020706177,259.58465671539307,243.12516403198242,295.40390944480896,538.1654369831085,241.81566619873047,269.92041873931885,359.1467056274414,329.5506889820099,456.9465048313141,438.73142647743225,610.5470707416534,889.1733527183533,1187.821670293808,737.9188554286957,691.9139759540558,822.7844097614288,478.3187611103058,3600,1013.2243206501007,712.6104893684387,3600,1291.6490931510925,1078.376620054245,858.065135717392,3600,3600,3600,3600,3600,3600
22056.723878622055,385.82122778892517,147.8943989276886,143.22057461738586,153.11007857322693,147.73350477218628,92.71403980255127,128.7790343761444,191.95754551887512,241.92086029052734,156.4868392944336,127.4830904006958,359.8021924495697,115.7274842262268,395.35883378982544,265.445659160614,248.84165477752686,123.37438678741455,317.5279321670532,118.57305765151978,279.6563181877136,250.57237339019775,292.57063341140747,236.54861783981323,469.23234581947327,478.55952763557434,195.98820304870605,3600,978.9694573879242,3600,3600,3600,612.8540065288544
68914.36549544334,1172.2591061592102,387.0659246444702,254.60637617111206,524.7936305999756,313.9605567455292,1237.783928155899,360.58001232147217,914.6253941059113,585.5806400775909,909.9426090717316,3600,816.5417952537537,1724.1743364334106,925.4510219097137,3600,3600,463.67409014701843,1797.2403795719147,3600,3600,751.3936982154846,3600,3600,1774.6919958591461,3600,3600,3600,3600,3600,3600,3600,3600
22062.331345319748,382.51856875419617,147.11426329612732,144.13631105422974,154.99736905097961,147.2808609008789,92.91647243499756,128.87454390525818,191.0878472328186,242.75189638137817,157.14565682411194,127.90557622909546,362.8360855579376,115.28024744987488,395.04217505455017,266.2408080101013,250.03643345832825,123.7309935092926,318.6886978149414,118.39767479896545,279.05310821533203,250.56296277046204,291.3669352531433,236.91072273254395,472.5049488544464,483.6332850456238,196.28270149230957,3600,975.5439345836639,3600,3600,3600,609.4902646541595
87141.2745039463,3600,426.99642062187195,306.70303535461426,634.9896929264069,1050.9608852863312,3600,895.7093141078949,769.6361877918243,625.0159382820129,1011.9067611694336,3600,3600,3600,3600,3600,3600,3600,3600,512.4137992858887,3600,3600,1706.9424691200256,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
20716.05812573433,13.932361364364624,118.44959211349487,111.34238481521606,112.30897164344788,105.91828727722168,83.01863527297974,142.982492685318,172.3026556968689,149.28643679618835,145.34946537017822,147.76019406318665,160.86483311653137,138.8539686203003,241.3556513786316,281.00852847099304,271.0070285797119,155.18299269676208,198.92608213424683,72.36963844299316,266.6400170326233,232.31964683532715,267.364933013916,247.30162978172302,463.5329222679138,458.37286853790283,215.47982335090637,3600,683.2855224609375,3600,3600,3600,659.540561914444
50279.795192956924,629.6331698894501,186.6667139530182,209.75702095031738,395.8072831630707,220.1951825618744,422.99517488479614,237.25916361808777,560.1087391376495,442.6581621170044,463.42497158050537,529.013293504715,392.128479719162,473.8186447620392,1052.4926495552063,876.2945573329926,1136.5474128723145,585.3670983314514,902.0369329452515,50.231587171554565,3600,1350.07479262352,3600,1472.3462176322937,3600,3600,1690.93794465065,3600,3600,3600,3600,3600,3600
27811.1908826828,885.0339524745941,206.44464659690857,190.19178676605225,291.67163848876953,192.46405172348022,180.5799205303192,190.64037156105042,312.776535987854,295.8523762226105,229.41157364845276,209.3066909313202,363.9053122997284,198.2719385623932,589.889571428299,480.83107805252075,476.252482175827,272.00713419914246,423.3570694923401,353.04754734039307,912.3597683906555,564.6496210098267,464.44924211502075,671.7140161991119,937.250529050827,751.1809780597687,326.9467520713806,3600,1388.6075072288513,3600,3600,3600,1052.0967900753021
21470.669065475464,373.5114598274231,116.45859479904175,141.653573513031,137.47415471076965,106.20427441596985,89.51782059669495,102.2568883895874,177.61349868774414,175.81497240066528,138.18084836006165,96.67692255973816,178.31371808052063,112.40867710113525,283.31702518463135,327.5002565383911,341.9904556274414,125.4973816871643,261.5538604259491,60.80898427963257,295.7731077671051,205.904114484787,331.79544401168823,230.0972375869751,471.22425389289856,417.73429107666016,181.1726529598236,3600,600.9056570529938,3600,3600,3600,989.3089394569397
20490.52938079834,18.648468494415283,102.68224310874939,106.24411582946777,110.27088952064514,99.84631371498108,102.0423150062561,91.52817034721375,160.95447158813477,152.36725234985352,122.31007146835327,99.02716517448425,188.43013095855713,103.08279204368591,254.96663117408752,236.28241634368896,228.9317741394043,163.73874926567078,238.66331100463867,60.843525886535645,414.68557119369507,267.5261871814728,278.7726163864136,319.0239808559418,450.3669505119324,352.20944023132324,175.27516508102417,3600,615.1885960102081,3600,3600,3600,576.6200659275055
25345.20010995865,246.4755415916443,168.9789719581604,152.12442111968994,145.86721301078796,153.23200464248657,208.09707045555115,165.64952540397644,233.18560481071472,242.94777083396912,205.11703205108643,197.43226766586304,315.0200800895691,206.79486799240112,436.4507234096527,402.17569851875305,340.6484794616699,264.7833287715912,527.917905330658,243.93395709991455,696.932427406311,514.7289459705353,385.8168077468872,551.7447850704193,871.2702708244324,554.9282948970795,282.5781044960022,3600,1223.5352141857147,3600,3600,3600,1006.8327951431274
56855.499713897705,1366.8154909610748,851.6630733013153,909.3459022045135,1373.9228365421295,1171.3073360919952,212.49216628074646,1362.8060655593872,1224.6782393455505,1604.5232634544373,1083.7024099826813,273.1743869781494,3600,322.30814957618713,3600,868.7550427913666,1436.3017382621765,865.8282163143158,3600,179.56502437591553,3600,1749.6990368366241,557.8694262504578,795.037228345871,3600,963.9955303668976,400.2492411136627,3600,3600,3600,3600,3600,1281.4599089622498
20514.809318304062,18.673640966415405,102.1916708946228,105.9427969455719,110.13877463340759,99.87033081054688,102.00829267501831,91.6502149105072,160.4993748664856,153.14650654792786,121.54070830345154,98.697922706604,188.83596277236938,103.50374674797058,254.8065321445465,237.22067856788635,229.89040279388428,162.87175679206848,238.2737259864807,83.98155426979065,411.0345251560211,268.1688058376312,278.64060044288635,319.60106134414673,449.65477561950684,352.30490922927856,174.5318307876587,3600,622.0873191356659,3600,3600,3600,575.0408964157104
108190.66045761108,3600,3600,3600,3600,3600,671.8256857395172,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,1398.484608888626,3600,3600,3600,1720.3501629829407,3600,3600,3600,3600,3600,3600,3600,3600,3600
20701.215215444565,225.9371418952942,108.13009929656982,93.71052408218384,121.82922220230103,79.94878387451172,89.23873114585876,96.24362277984619,150.04667687416077,133.78451991081238,116.6225233078003,98.22427272796631,173.63908624649048,105.13902258872986,277.4252190589905,247.96659636497498,307.7880473136902,146.19919800758362,233.02826189994812,33.117696046829224,477.43176674842834,240.80896425247192,229.81984686851501,243.39473271369934,402.5427212715149,363.4007363319397,185.155699968338,3600,708.4861645698547,3600,3600,3600,612.1553370952606
109484.22865080833,3600,3600,3600,3600,3600,831.04887342453,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,653.1797773838043,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
21772.087142944336,292.12493681907654,98.62856197357178,117.70494270324707,129.85407376289368,84.6373302936554,83.1935486793518,87.66845178604126,236.88678002357483,141.74760222434998,150.50431323051453,126.8822238445282,165.38323187828064,131.97706198692322,238.29695892333984,230.14626288414001,250.70745015144348,246.83207869529724,236.60346007347107,172.29097485542297,536.5528755187988,654.4662795066833,239.36121559143066,237.41785073280334,455.04581093788147,458.43361496925354,169.69866394996643,3600,827.7927806377411,3600,3600,3600,571.2478063106537
20390.67332291603,100.4408631324768,80.0681688785553,109.44112348556519,117.7898998260498,92.17019462585449,77.27800178527832,91.22259449958801,168.96281719207764,142.19145822525024,114.89754819869995,98.7021005153656,211.0105586051941,99.46936178207397,263.9098563194275,241.1424765586853,265.57601833343506,138.65529561042786,218.60746121406555,32.34854221343994,353.3250472545624,240.94393754005432,223.1472465991974,257.36493372917175,475.1773159503937,399.3484740257263,163.3488781452179,3600,648.2782926559448,3600,3600,3600,565.8548560142517
20381.065106153488,100.10085821151733,80.58471488952637,109.45057392120361,117.72341632843018,92.36889481544495,76.90189146995544,90.86381363868713,162.36515259742737,141.56295156478882,114.77355575561523,98.34577703475952,211.28338599205017,99.56888175010681,264.84056520462036,240.63536643981934,264.5547478199005,137.01662921905518,218.1522045135498,32.27033352851868,352.9529538154602,235.01276326179504,222.7646255493164,255.29352116584778,474.84463357925415,399.63085746765137,164.21633887290955,3600,658.4537072181702,3600,3600,3600,564.5319905281067
