Score,9dcbf221b8d2bb01f30bcca283f3608d,2a53e9c6a25a50d753a94ead66065826,ef330d1b144055436a2d576601191ea5,0fa9521ff633b27be11525a7b0f7d8b6,cb2e8b7fada420c5046f587ea754d052,cbd0933002d6c4ea99ceb47bb0c3f4c9,d6402b482a5dc102a5b09360689e2be8,02c6fe8483e4f4474b7ac9731772535d,29ab150158d641568f888e8401d2ac13,a64f3c1afd7e0f6165efbe9fc2fc8003,2d6d26e1c5b4f2763c03697a6d00d3cf,dc7817dfa2817916b266c1cfacd2ee66,45a09efb026036ff4b8d19024a7563a9,4517202fdd0ccc8a97d83684b021ea96,4e366e723d75fe39bf6db9a24ffb059b,a5fc113e7d4899f4e4af14b87b6fd6ae
24885.623185396194,735.1449797153473,48.96305513381958,0.9960963726043701,360.18491077423096,672.1003625392914,295.2012093067169,348.47887444496155,808.4267373085022,1768.884740114212,3600,3600,432.78632974624634,3600,3600,3600,1414.4558899402618
28449.324301958084,690.7919239997864,30.295127153396606,9.830668687820435,248.72284317016602,232.596577167511,3600,130.33603692054749,31.313947677612305,727.3235282897949,3600,3600,3600,3600,3600,3600,1148.113648891449
24593.041669607162,22.691816329956055,35.75799751281738,3.6942765712738037,4.439005374908447,493.4169702529907,390.8629686832428,195.40935587882996,31.153608322143555,606.7147123813629,3600,3600,3600,3600,3600,3600,1208.9009582996368
25174.798125505447,113.70092868804932,28.435022592544556,2.9674978256225586,782.7299482822418,234.08258628845215,365.8739356994629,157.19917345046997,16.029980421066284,473.02102756500244,3600,3600,3600,3600,3600,3600,1400.7580246925354
34942.5096783638,3600,48.56473135948181,1.3056972026824951,406.332599401474,639.7661283016205,3600,62.174564361572266,231.94647932052612,3600,3600,3600,1152.4194784164429,3600,3600,3600,3600
29282.156525611877,3600,46.1351637840271,0.8699331283569336,666.1917033195496,302.1062333583832,3600,221.61527609825134,13.709495067596436,724.5535867214203,3600,3600,429.13026785850525,3600,3600,3600,1677.8448662757874
28520.12255358696,621.1717593669891,30.59669017791748,4.6229493618011475,24.436030864715576,293.71299719810486,3600,119.70816779136658,17.10077476501465,615.9400105476379,3600,3600,3600,3600,3600,3600,1592.8331735134125
47863.24385023117,3600,3600,0.3173089027404785,3600,446.87592339515686,3600,3600,616.0506179332733,3600,3600,3600,3600,3600,3600,3600,3600
23035.619176626205,43.313984632492065,58.704081773757935,1.0490498542785645,240.70798659324646,12.528526782989502,1176.607276916504,205.82391214370728,340.7598361968994,919.9906785488129,3600,1699.1990983486176,336.9347448348999,3600,3600,3600,3600
45329.166929483414,3600,94.14393424987793,0.1701798439025879,319.88183331489563,1714.9709820747375,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
26501.596472263336,293.03183484077454,50.1271026134491,1.218425989151001,1107.8461592197418,18.495133638381958,3600,184.06956839561462,384.22722148895264,822.2306609153748,3600,1625.059145450592,415.2912197113037,3600,3600,3600,3600
24378.866240024567,21.449605226516724,59.183345079422,1.2719838619232178,662.3293988704681,682.3207333087921,1275.2859036922455,165.08939623832703,383.53842210769653,1088.4705436229706,3600,1751.7446510791779,288.182256937027,3600,3600,3600,3600
