Score,2b032f8a8976a302ad125eb50a3e8445,6c52aca5b5fd284bf1940b84df90a367,4a8285a53f30b35016b0c85ea17ba155,ff9e9b01d50d01ecb6740472d7dd36cd,46d75199933980fdb856f13e5b1817dd,cccee4b0d4c70a5d5422663e2d8887da,dd7164f2592c9675618c5c99af9b70f3,aa6e6f67719ca43aef922f2ebabc409a,e85e793a66a2c9d390f40acf29a5346b,a917b02a7c31e74c8ccf8b8f001abf37,a6ed647f85f20be4aedd1e9ce31cbdcd,7dc0e1b5fedbd8351907f1316b58e68f
40699.25222468376,3600,1099.2522246837616,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
29422.155851364136,303.03689527511597,23.74017572402954,80.92448282241821,214.45429754257202,3600,3600,3600,3600,3600,3600,3600,3600
29435.89071750641,282.6233491897583,23.749688148498535,82.9793267250061,246.53835344314575,3600,3600,3600,3600,3600,3600,3600,3600
27142.887787103653,473.4733555316925,72.04868412017822,151.28495073318481,324.86889600753784,921.2119007110596,3600,3600,3600,3600,3600,3600,3600
29827.299044132233,413.1554560661316,183.5076084136963,191.12397408485413,239.51200556755066,3600,3600,3600,3600,3600,3600,3600,3600
29050.529331207275,682.1449284553528,123.21396970748901,172.94360423088074,1597.9300014972687,1274.2968273162842,3600,3600,3600,3600,3600,3600,3600
30903.125128507614,888.7213451862335,183.71353101730347,363.5674948692322,667.122757434845,3600,3600,3600,3600,3600,3600,3600,3600
29674.25226664543,169.98488426208496,217.46386575698853,237.18769812583923,249.6158185005188,3600,3600,3600,3600,3600,3600,3600,3600
43200,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
27438.84722518921,182.7753038406372,72.9589114189148,127.02350068092346,177.14343881607056,1678.946070432663,3600,3600,3600,3600,3600,3600,3600
43200,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
29471.783783197403,270.14216709136963,72.39051175117493,153.09857869148254,176.15252566337585,3600,3600,3600,3600,3600,3600,3600,3600
29837.17781472206,267.63991498947144,77.41985011100769,149.557030916214,542.561018705368,3600,3600,3600,3600,3600,3600,3600,3600
29181.012986421585,158.523854970932,27.12511157989502,93.26076698303223,102.10325288772583,3600,3600,3600,3600,3600,3600,3600,3600
29182.483871936798,123.00591778755188,24.002214431762695,83.99072527885437,151.48501443862915,3600,3600,3600,3600,3600,3600,3600,3600
29530.74676823616,184.40696334838867,78.27036023139954,184.30990433692932,283.75954031944275,3600,3600,3600,3600,3600,3600,3600,3600
26992.68067932129,289.6741752624512,55.76689147949219,92.02275037765503,330.05512404441833,1025.1617381572723,3600,3600,3600,3600,3600,3600,3600
27121.614817619324,307.34587025642395,43.002567291259766,101.84618830680847,413.21337127685547,1056.206820487976,3600,3600,3600,3600,3600,3600,3600
37632.55340838432,3600,662.8804936408997,969.6729147434235,3600,3600,3600,3600,3600,3600,3600,3600,3600
26936.055705070496,378.62974095344543,49.035154819488525,86.92857933044434,393.83498430252075,827.6272456645966,3600,3600,3600,3600,3600,3600,3600
26952.71874523163,361.9872512817383,48.10952830314636,87.3520290851593,407.14159202575684,848.1283445358276,3600,3600,3600,3600,3600,3600,3600
26987.90896844864,286.4022717475891,57.63497710227966,93.12123394012451,319.7957434654236,1030.954742193222,3600,3600,3600,3600,3600,3600,3600
28514.49447631836,771.2082769870758,119.59541249275208,208.77549242973328,1102.575926542282,1112.339367866516,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0
