Score,ce49f590c98885f7ac95567f2b1e7dd5,f561c52b987bdb9031a477864070b759,a45b60e53917968f922b97c6f8aa8db3,71270454196ae092b28d0a74300a85e1,bbfe2b27182d2ee7fefdb557f458ac9c,b172b4c218f1e44e205575d2b51e82c4,67c533489a498495525efee429340958,cdd131110acc861a5a01fae6c4936c91,4408f30395fb799e01b34b0dc7ee1d62,0a4ed112f2cdc0a524976a15d1821097,973d699ec01b88da869233a79aaa1912,768956cc8d1f2d18ae1929f6bb26557a
37457.58542013168,3600,3600,610.7244980335236,846.8609220981598,3600,3600,3600,3600,3600,3600,3600,3600
36805.517119169235,3600,3600,290.4938237667084,515.0232954025269,3600,3600,3600,3600,3600,3600,3600,3600
34370.77227520943,48.044443130493164,3600,475.6340410709381,1447.0937910079956,3600,3600,3600,3600,3600,3600,3600,3600
36290.25054359436,68.78020095825195,3600,221.4703426361084,3600,3600,3600,3600,3600,3600,3600,3600,3600
36618.07019639015,153.84967517852783,464.22052121162415,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
33350.021000146866,10.681298732757568,701.8868219852448,237.45287942886353,3600,3600,3600,3600,3600,3600,3600,3600,3600
31000.7572286129,9.005610704421997,3600,636.9635345935822,1446.8641955852509,3600,3600,3600,107.92388772964478,3600,3600,3600,3600
30750.482343435287,34.809696435928345,31.02760934829712,563.8565227985382,1320.7885148525238,3600,3600,3600,3600,3600,3600,3600,3600
30452.376749277115,32.16355347633362,232.9273374080658,545.8840839862823,841.4017744064331,3600,3600,3600,3600,3600,3600,3600,3600
30138.950660467148,16.93662977218628,20.306870222091675,339.2647318840027,962.4424285888672,3600,3600,3600,3600,3600,3600,3600,3600
43200,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
27051.787286043167,6.957722425460815,43.92085671424866,515.8524355888367,984.832916021347,3600,3600,3600,300.2233552932739,3600,3600,3600,3600
36164.36170244217,9.99764609336853,3600,154.36405634880066,3600,3600,3600,3600,3600,3600,3600,3600,3600
30530.6919028759,33.94228959083557,70.99773621559143,513.5225982666016,1112.2292788028717,3600,3600,3600,3600,3600,3600,3600,3600
30067.417174339294,7.999960660934448,22.053605556488037,694.7264993190765,3600,3600,3600,3600,542.6371088027954,3600,3600,3600,3600
27211.948994398117,30.479020833969116,177.81145119667053,363.45522236824036,1106.845469713211,3600,3600,3600,333.357830286026,3600,3600,3600,3600
33895.497586250305,48.25802707672119,3600,469.4329581260681,977.8066010475159,3600,3600,3600,3600,3600,3600,3600,3600
30905.408203601837,16.75496506690979,350.3679690361023,489.71961092948914,1248.565658569336,3600,3600,3600,3600,3600,3600,3600,3600
27758.964517593384,11.861440896987915,350.31660175323486,320.05772066116333,917.5916497707367,3600,3600,3600,959.137104511261,3600,3600,3600,3600
34396.40238857269,939.0767650604248,3600,21.89020538330078,1035.4354181289673,3600,3600,3600,3600,3600,3600,3600,3600
33891.06406760216,361.0958323478699,3600,28.653611660003662,1101.314623594284,3600,3600,3600,3600,3600,3600,3600,3600
33663.82011508942,3.9797327518463135,3600,323.941477060318,935.8989052772522,3600,3600,3600,3600,3600,3600,3600,3600
30026.91612291336,47.37036943435669,9.827699184417725,32.24341893196106,1137.4746353626251,3600,3600,3600,3600,3600,3600,3600,3600
33617.795739889145,29.849443912506104,3600,191.25595951080322,996.6903364658356,3600,3600,3600,3600,3600,3600,3600,3600
30078.001967668533,152.23487877845764,137.08129954338074,48.20822954177856,940.4775598049164,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0
