Score,ddd3b43476c18cf483aac233d4dc1c68,3a7a64e1d6cf5ce969b2b05b5464f707,1b86f59ce4c43f19f0ad1238f8c362b4,b44611ea7852dd30215cc1cb09e1ab79,291c2b4fa2d8b009cd2a8331891ba667,d3529338d35aa27e8024932d3b5f64b5,93a87994c03a7752f85d863239555d48,44ad104c3b0c83b4cfc260583dee2397,9631e4082abf03e560b889c5715d3979,bdc85226a8d910a8b7d6a8730c7a4572,090eefb9bc472f6478e70baf2c6d2403,98c6da979a0a22d384d465a1da17111e,339b1cfda231aaca601cd6339c07ca2c,a83665715cf54e10f6d5382b97fd909c,d66ab8bce1b8979dbd26b3c220e817be,fdc5aa7c150fd1c49ad3b50433277528,ea5b47b3ffb3b8cb77a2cff83cc1ffba,d46c3fc9e953d4f84e8a18e52e29e7b7,1d42a7c3616ce163e292340cfcd34f97,150b5f8cac40bb4e0fcbdd65c3c04701
24920.18081498146,2.626117467880249,8.024741649627686,22.958415031433105,3.669671058654785,3.822788953781128,3.1326136589050293,3.2863264083862305,14.138222932815552,10.887825727462769,21.214550256729126,346.78966331481934,3600,3600,3600,942.007340669632,1201.910924911499,3600,735.7116129398346,3600,3600
38453.68463206291,114.66557025909424,173.2735891342163,342.8406434059143,343.5534188747406,212.91720724105835,284.6824116706848,109.10556888580322,168.9225788116455,78.23254418373108,625.4910995960236,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
37247.357639312744,98.066237449646,125.46936774253845,105.05598497390747,113.90740871429443,168.57560968399048,120.51439309120178,116.67751145362854,72.20365524291992,127.09486603736877,199.7926049232483,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
37018.68134045601,46.9035758972168,91.28712224960327,85.82872772216797,180.30173301696777,97.31707262992859,64.35334062576294,96.5973687171936,79.67191457748413,115.35733819007874,161.0631468296051,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
20147.518938302994,4.935094833374023,4.958909273147583,7.565410614013672,3.4553472995758057,5.681763410568237,6.68492317199707,3.471622943878174,5.543860197067261,3.8984973430633545,17.62250518798828,3600,179.16290521621704,286.9384002685547,636.0903151035309,3600,207.4701759815216,3600,774.0392074584961,3600,3600
7822.519154071808,3.6626317501068115,7.447819232940674,5.8047990798950195,5.103373765945435,7.542726516723633,4.0380189418792725,4.477575302124023,6.4784228801727295,9.439302444458008,10.442841291427612,149.6860544681549,326.75454354286194,429.64936327934265,638.5422079563141,322.85784459114075,505.7758569717407,895.7741906642914,182.45251560211182,706.5890657901764,3600
13867.027024030685,6.243090867996216,10.586629152297974,10.206314086914062,5.128333330154419,9.289376974105835,15.742513656616211,5.042392015457153,25.89994716644287,12.164064645767212,20.356359481811523,178.81338357925415,414.3255453109741,526.1615617275238,362.5518283843994,3600,403.75064635276794,467.4829704761505,3600,593.282066822052,3600
6907.479376077652,1.8205888271331787,8.92093300819397,4.410018682479858,9.819127321243286,8.692171573638916,4.51183009147644,2.274528741836548,4.309118747711182,8.978929996490479,10.74884295463562,555.3503439426422,78.6344347000122,494.89242243766785,3600,310.4256258010864,146.3690586090088,638.3802471160889,193.96372413635254,173.44365096092224,651.5337784290314
706.0321314334869,3.022688865661621,3.9850211143493652,2.4972715377807617,2.7398738861083984,2.8577141761779785,2.1971118450164795,2.4059383869171143,2.3156898021698,4.654690265655518,5.704426288604736,48.15977692604065,34.94544863700867,62.871216773986816,139.404718875885,30.245659828186035,41.77404808998108,71.12099695205688,65.03078413009644,104.08124732971191,76.01780772209167
11044.136286735535,3.3217902183532715,4.775764226913452,6.10070276260376,4.7744810581207275,6.64330530166626,4.548857688903809,3.9948158264160156,8.405553579330444,7.037342548370361,9.719182968139648,76.50825214385986,142.50616693496704,1714.8073508739471,3600,106.02888226509094,277.2012631893158,706.4567422866821,174.50505995750427,586.8007729053497,3600
36448.62408924103,18.984838247299194,33.34666562080383,48.48116064071655,27.024170398712158,61.486371755599976,19.718485832214355,23.2123806476593,42.81267547607422,62.03986740112305,111.5174732208252,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
3638.5227994918823,2.6048479080200195,3.5138587951660156,3.263823986053467,3.3652760982513428,3.7187962532043457,2.9814093112945557,3.1884052753448486,3.246997356414795,3.790271520614624,5.751161336898804,51.371220111846924,465.567378282547,191.6152379512787,141.51480054855347,79.19893741607666,366.1869900226593,1204.4175956249237,412.2164099216461,408.04152250289917,282.9678592681885
39797.36073207855,239.772775888443,341.86698937416077,1076.1081500053406,375.198308467865,429.48445892333984,81.59305381774902,224.65850853919983,250.39542293548584,292.72373127937317,485.5593328475952,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
1299.9442780017853,2.445172071456909,3.384716033935547,3.261683702468872,3.4367496967315674,3.702228307723999,3.020231246948242,3.180630683898926,3.2728755474090576,3.844299077987671,5.81696629524231,53.00932955741882,87.77833962440491,157.29488563537598,141.1396288871765,71.32551527023315,102.71062588691711,171.7438714504242,110.90029335021973,195.04509019851685,173.63114547729492
1223.898194551468,0.6712756156921387,0.9241490364074707,0.8991653919219971,0.9702284336090088,1.0219621658325195,0.8273346424102783,0.8559024333953857,0.9149074554443359,1.0314242839813232,1.345118761062622,44.23546123504639,70.17945265769958,144.40678691864014,169.0097417831421,40.94613790512085,72.68568420410156,176.56908535957336,111.28657102584839,209.30150485038757,175.81630039215088
567.2916157245636,1.4104835987091064,2.1666324138641357,1.9216456413269043,2.1618058681488037,3.6174397468566895,1.8821446895599365,2.0252797603607178,3.0638201236724854,2.255829334259033,4.887217283248901,20.43578052520752,35.725602865219116,64.90247106552124,57.2791633605957,27.05997920036316,42.77441453933716,72.00456523895264,51.62697076797485,90.1766562461853,79.9137134552002
374.79067850112915,0.6910793781280518,1.215116024017334,1.6711416244506836,2.0331597328186035,1.1110963821411133,0.8997280597686768,0.9195094108581543,1.22517728805542,1.124157428741455,2.7191665172576904,13.480409145355225,22.56694459915161,41.82107067108154,37.76262402534485,28.253427028656006,26.808908939361572,48.42205286026001,38.10184907913208,54.43313908576965,49.53092122077942
445.3024477958679,1.2321436405181885,2.583076238632202,1.6981201171875,1.760545015335083,2.785024404525757,1.5509698390960693,14.492117166519165,2.627331256866455,3.175891399383545,3.943131685256958,17.63775610923767,25.800175666809082,47.20487427711487,43.08505702018738,23.090710163116455,31.190257787704468,52.62760376930237,46.4552538394928,64.83990359306335,57.522504806518555
4842.346876859665,1.3101487159729004,1.7218189239501953,1.829458236694336,1.7557904720306396,2.0315306186676025,1.661768913269043,1.7024335861206055,1.8068950176239014,2.1001851558685303,2.6696205139160156,36.92303133010864,77.78986811637878,3600,136.9262113571167,50.85309171676636,89.52291560173035,241.80866527557373,119.21701836585999,254.84959435462952,215.86683058738708
65565.87746548653,3600,3600,3600,3600,1042.2145380973816,3600,1596.4122972488403,1727.2506301403046,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
36944.52472567558,30.581347942352295,154.89189910888672,73.30548000335693,83.0549635887146,124.1539294719696,68.63435769081116,54.7127046585083,94.96764373779297,75.94473218917847,184.27766728401184,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
36869.20569252968,51.8601610660553,64.03716611862183,86.43160772323608,83.68195223808289,101.11985158920288,80.52067041397095,54.2644305229187,77.12372636795044,101.77673316001892,168.38939332962036,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
38009.01962995529,100.76121163368225,219.96661591529846,179.77990865707397,298.24756956100464,212.15838170051575,160.75472021102905,191.96298122406006,104.80637884140015,145.5200674533844,395.061794757843,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
36793.502165555954,36.01468896865845,76.95045590400696,63.877259969711304,79.68451857566833,83.58134150505066,62.021584272384644,77.4170868396759,86.38887476921082,67.12628054618835,160.44007420539856,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
36395.94755458832,23.28726625442505,44.06367468833923,42.61997199058533,41.933040142059326,44.24157357215881,40.60479116439819,46.68972158432007,50.05589413642883,23.760990619659424,38.6906304359436,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
20823.668933153152,10.720908880233765,22.029126405715942,23.211280822753903,42.31684470176697,24.352696418762207,29.720094919204712,22.006840467453003,28.67628002166748,42.707852840423584,46.20435357093811,3600.0,292.2050971984863,3600.0,443.1309509277344,3600.0,523.7251210212708,3600.0,3600.0,476.8923783302307,795.7691066265106
