Score,2b043efb4bde6d83f7c95a8e8e2d7bf8,7cbc3ce2052ba7c5b501f75af58ab3c4,5ee7de2bd112aa39485e79c9d487bf8f,2fcd8533eba981967292f1b6e41f7433,08ccc34df5d8eb9e9d45278af3dc093d,3129198788f182ce6955b18aa3c7e61e,9276ce38c625b2d00de247f8588f1542,79b9e24dd9af185dbec18c9b0a32b1e2,f86dad4ba35369eb720a0c9ddc45037a,00f4aca773e5675f35263dcd46b15bde,9f3ef12b5b68f92eb9265721ea73bb03,25b7a69d04a5029cf4ba2f483b5bec45,30e680ded3b9be6be0b5baac273f2646,7f2b4b2bde9b866b93fbfe01341213da,075ca0a158690a55b7254d9aaee2e103,cfc53adcc8ed18ca161bb6f8bc02b237,4989239fbeb6eb40fc0b664d9ba92636,9a413c250f82a93d513d4092ba654ee2,8fcc57f6c75cb2ac48d19e3038ad3c6c,96ae6bde39369f75aa975b0f5b74c325,1b02025658c2a23e1fd3ce0a9c3633cb,305ad7d773d6c72be9b1efbf7bf482e0,558113ad4d50130351db8c426230a50f,711ff7681711949f44b07a0d530dc729,cd33a862b81ba7b887845d3510c41c62,a8dc92a9c0434576b47c82c94ab5c446,3f341c57c37d86350af5233b8e15e52e,78d23f235b63b1b7f08eb1b6cfb03f34,df237594dc22b8f7cad2c4b38a23e40c,9fe43145e48a0ef0096bb72531f1a0e3,20be6aa61af15fd53b4c48eb3f2f3319,caead0e04b6de4365822b25dfd55967f
28545.521092653275,14.379949808120728,1.084451675415039,1.191222906112671,12.937286615371704,6.068617820739746,70.1406672000885,19.34009838104248,32.98845028877258,2.097463607788086,341.2876145839691,415.65007519721985,300.54930353164673,241.98838758468628,212.437402009964,204.27202558517456,224.08272695541382,232.2105255126953,242.28530740737915,205.55963611602783,328.7760262489319,162.97733449935913,576.1874649524689,518.8890445232391,564.1879634857178,1503.5530002117157,510.39904594421387,3600,3600,3600,3600,3600,3600
31032.808553934097,1.7102925777435303,18.503557443618774,62.5923707485199,1.3122150897979736,8.23673701286316,1.8766257762908936,22.48597478866577,116.16790795326233,16.010840892791748,49.43887281417847,271.60176634788513,149.16604804992676,192.2272675037384,196.07789587974548,201.44751477241516,197.90572929382324,187.83541679382324,216.01836013793945,235.02297139167786,230.48865008354187,186.1946315765381,501.8484208583832,629.8733105659485,456.5036919116974,3600,1682.261483669281,3600,3600,3600,3600,3600,3600
30613.673276424408,1.8019354343414307,19.468485355377197,1.79709792137146,1.462693691253662,8.891745567321777,23.073699712753296,101.98010754585266,71.25130200386047,33.34779477119446,69.71069931983948,244.98870515823364,235.19784259796143,314.9551603794098,269.35740852355957,228.99518156051636,273.58568501472473,3600,231.9413378238678,218.62998461723328,171.7704496383667,270.0546667575836,436.81671142578125,483.55046248435974,494.676283121109,501.2729935646057,705.0948424339294,3600,3600,3600,3600,3600,3600
34520.61071181297,15.381499767303467,18.5716495513916,61.986883878707886,1.2066802978515625,7.2188334465026855,1.403878927230835,3600,107.2216567993164,15.887774467468262,80.53116035461426,423.9965398311615,386.91032338142395,228.93696546554565,290.0611321926117,211.92642831802368,276.06749749183655,376.7937800884247,218.20527601242065,202.32375383377075,43.76144766807556,20.494879961013794,447.4689064025879,446.13542127609253,936.1026270389557,3600,902.0157153606415,3600,3600,3600,3600,3600,3600
32136.210689544678,29.405077934265137,4.857937574386597,93.20860433578491,28.415504217147827,2.2426271438598633,6.1806066036224365,282.4893147945404,67.04075622558594,51.132269620895386,1219.526688337326,31.122575044631958,297.617981672287,175.26868319511414,199.1362874507904,209.454993724823,194.61662912368774,206.9213638305664,199.50931787490845,230.80096459388733,243.5912389755249,128.21776294708252,447.1773660182953,446.01972341537476,474.78028869628906,3600,1667.4761261940002,3600,3600,3600,3600,3600,3600
30949.955681324005,6.795220375061035,192.7387616634369,37.90225076675415,8.465074300765991,2.8883748054504395,8.185619115829468,2.86085844039917,19.48301672935486,35.334354400634766,46.447155714035034,231.6292541027069,373.8414692878723,181.98267817497253,215.70290684700012,203.9578537940979,181.67167258262634,200.38386607170105,219.97997903823853,203.55548357963562,278.9636814594269,205.24544525146484,510.47855162620544,534.1597068309784,470.8821382522583,3600,1376.4203081130981,3600,3600,3600,3600,3600,3600
31818.19351387024,6.017656564712524,6.681027412414551,38.236172914505005,80.9296944141388,14.970360517501831,41.3464879989624,13.334200620651245,84.31398749351501,3.248133897781372,1079.8944323062897,414.91245675086975,109.18051505088806,204.76470804214478,211.51456928253174,202.74482250213623,189.39820885658264,196.0840072631836,200.6033501625061,209.66718745231628,113.6854956150055,294.4934546947479,463.95157766342163,464.2878522872925,444.5105698108673,3600,1529.4225842952728,3600,3600,3600,3600,3600,3600
57699.5768558979,3600,3600,3600,3600,3600,3600,3600,3600,3600,45.16223096847534,339.9212419986725,33.00658106803894,192.06074476242065,194.0570206642151,187.34449934959412,210.6105237007141,178.86040568351746,188.53058385849,181.46124458312988,52.77600383758545,9.623454093933105,451.23111963272095,478.9561061859131,471.52437257766724,72.95503687858582,411.49568605422974,3600,3600,3600,3600,3600,3600
52142.86974000931,3600,3600,3600,3600,3600,3600,3600,9.832165956497192,162.57811784744263,710.7665495872498,156.2347846031189,251.50105547904968,194.05379676818848,164.63444781303406,172.5762481689453,193.35263514518738,204.03404712677002,167.0652039051056,167.17075848579407,9.628019332885742,173.38379979133606,436.9233994483948,514.9303970336914,398.72344160079956,337.0643661022186,3600,3600,3600,3600,918.4165058135986,3600,3600
37946.1695663929,0.008905172348022461,0.008370161056518555,0.008790254592895508,0.007470369338989258,0.007367610931396484,0.009952545166015625,3600,137.61178374290466,3600,308.39942932128906,209.1471083164215,309.91102933883667,247.22747230529785,181.4031548500061,311.2855100631714,180.44308710098267,173.746426820755,183.99608087539673,188.990136384964,276.90630888938904,152.0850965976715,425.87627840042114,516.2472491264343,406.0870327949524,3600,1336.7555253505707,3600,3600,3600,3600,3600,3600
35841.92717170715,13.716414451599121,15.695217609405518,17.020613193511963,11.985681772232056,5.563245534896851,18.160837173461914,6.970683336257935,215.07490015029907,2.010629415512085,3600,192.2461907863617,320.6543986797333,166.1689121723175,163.15368270874023,166.3121235370636,169.67921328544617,164.83826851844788,167.31715083122253,167.03180742263794,58.85875844955444,238.9075756072998,389.55573892593384,387.1775281429291,383.8276000022888,3600,3600,3600,3600,3600,3600,3600,3600
108836.9270362854,3600,3600,3600,3600,3600,3600,249.06637454032898,3600,587.8606617450714,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
90107.24932193756,0.008593320846557617,0.00925755500793457,0.008936166763305664,0.008280515670776367,0.006795406341552734,0.00871729850769043,107.19874167442322,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
30308.985298395157,0.008440017700195312,0.008167505264282227,0.00895547866821289,0.00849294662475586,0.0065419673919677734,0.008898019790649414,24.30116844177246,363.0825865268707,5.414971590042114,550.4912712574005,335.8215477466583,42.91203856468201,175.7962327003479,166.9668161869049,169.30173587799072,168.59922432899475,168.5039496421814,169.0492775440216,167.87303972244263,29.061408281326294,391.4707851409912,388.49137568473816,389.3349645137787,392.48720932006836,3600,3600,3600,3600,3600,3600,3600,1009.976199388504
39737.65759849548,0.00874948501586914,0.008839130401611328,0.008814811706542969,0.008054256439208984,0.00744938850402832,0.009162664413452148,3600,538.5012359619141,2.3574767112731934,3600,321.91246700286865,148.6668095588684,167.9286754131317,161.57535099983215,165.51064944267273,164.03155827522278,164.56350994110107,167.03768515586853,165.5322389602661,14.75044298171997,390.65698170661926,386.6354990005493,389.95627665519714,387.9896709918976,3600,3600,3600,3600,3600,3600,3600,3600
