Config,Score,Mean,f54b352934be08821aa75b3424112956,0d3160b80aa406bfc718c007265b9e73,aaa3654cc92d80da84ecf5d18040c634,02f6ca52f1ada872d82035088701b66a,1e0da402100982e53001a64281149dd9,878bcc11e1e243680f7946bcf428f465,c21cea390a50204944aa00babd56b53c,e8abb9c83efdd96a99990f3b914ea873,6008b958ff6877f32c26b72728df4523,573cc82ec61e01fd6e6308493ee56289,c03f7f84f6ac9e523c17e391c3895183,0f262afd5b117000f8b4734d175aadab,44fd38bd0c5fc7336be468161dee4eda,25cc054738293c0d9377d7b72b78a341,c8b129b9e4835b8a40d5ef0d27a45bef
phasesaving=0,11877.704223632812,725.1802815755208,450.8573956489563,554.2464892864227,283.37218832969666,2000.0,296.64692902565,318.0809111595154,573.2814581394196,316.064448595047,403.15652418136597,357.94425654411316,310.649888753891,362.5340087413788,2000.0,2000.0,650.869725227356
preprocess=0,15225.210905075073,948.3473936716715,818.4434416294098,509.4954159259796,597.1796579360962,2000.0,576.6733181476593,360.38555455207825,2000.0,293.7791509628296,713.7108998298645,459.26206517219543,528.0824241638184,699.4324131011963,2000.0,2000.0,668.7665636539459
probe=0,29839.196174144745,1922.6130782763164,2000.0,2000.0,2000.0,2000.0,839.1961741447449,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
randec=0,11966.165673494339,731.0777115662893,248.8314356803894,379.89683270454407,313.6001019477844,388.5789442062378,530.6140530109406,325.24196457862854,718.5138432979584,340.5120804309845,437.26968216896057,2000.0,492.46452045440674,308.817355632782,2000.0,2000.0,481.82485938072205
reluctant=0,12511.638180732727,767.4425453821818,294.84861063957214,279.8047742843628,368.9332582950592,364.76639890670776,302.69762110710144,270.6230881214142,948.5704216957092,437.48749804496765,504.0421278476715,677.3323860168457,349.36767172813416,713.1643240451813,2000.0,2000.0,2000.0
reorder=1,10165.735671520233,611.0490447680155,297.7789030075073,410.25049209594727,426.9816415309906,358.2336664199829,303.320925951004,279.94072914123535,438.7762050628662,334.2570276260376,609.8750786781311,512.9635145664215,350.7883105278015,424.8985695838928,2000.0,2000.0,417.6706073284149
reorder=0,10348.731922388077,623.2487948258718,297.42043352127075,450.9362280368805,428.5313084125519,361.39571738243103,304.0106348991394,321.968003988266,544.0995121002197,335.12154960632324,599.2456476688385,509.1211211681366,352.66373324394226,426.04314279556274,2000.0,2000.0,418.17488956451416
rephase=0,13517.729410171509,834.5152940114339,501.6577024459839,313.0074555873871,634.3843464851379,627.7349624633789,563.7403059005737,214.13787746429443,472.33232402801514,574.8324677944183,375.3977384567261,946.2183554172516,2000.0,798.4052486419678,2000.0,2000.0,495.8806254863739
restart=0,17449.97439432144,1096.6649596214295,325.16067028045654,376.14921283721924,386.31291127204895,641.3265190124512,400.96760630607605,232.2373390197754,2000.0,774.5245590209961,2000.0,2000.0,867.7926964759827,2000.0,2000.0,2000.0,445.50288009643555
stable=0,18301.18559551239,1153.4123730341594,255.55089378356934,957.8424661159515,2000.0,792.3305077552795,537.4677078723907,404.8437798023224,2000.0,653.4410464763641,2000.0,2000.0,289.68925070762634,2000.0,938.3259241580963,2000.0,471.6940188407898
stable=2,15921.544006109238,994.7696004072825,291.0426471233368,805.5965571403503,734.0620985031128,838.7406885623932,354.08900451660156,232.26087737083435,917.531512260437,562.037829875946,2000.0,2000.0,736.5197148323059,526.0256109237671,2000.0,2000.0,923.6374650001526
substitute=0,24734.09309577942,1582.2728730519614,2000.0,2000.0,804.6385533809662,2000.0,803.7340660095215,861.835729598999,2000.0,589.1885051727295,674.6962416172028,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
sweep=0,12092.83321237564,739.5222141583761,442.31236267089844,605.4163808822632,371.20137882232666,570.8843877315521,299.7271990776062,303.9263653755188,443.80204010009766,251.30344915390015,2000.0,509.96891927719116,348.37246227264404,478.3372640609741,2000.0,2000.0,467.58100295066833
target=0,13961.361645698547,864.0907763799031,319.4630138874054,617.5042338371277,414.39105558395386,452.8908932209015,631.6398704051971,262.8163392543793,625.1842937469482,388.6028747558594,2000.0,532.4678921699524,310.96699833869934,405.43418049812317,2000.0,2000.0,2000.0
target=2,15864.105020523071,990.9403347015381,214.3995385169983,426.3179531097412,383.40860986709595,2000.0,408.6088354587555,270.7652006149292,805.310941696167,272.1470010280609,641.5683400630951,2000.0,705.7771623134613,735.8014378547668,2000.0,2000.0,2000.0
transitive=0,12528.006761312485,768.5337840874989,266.72360920906067,443.06372117996216,521.4799091815948,454.92633152008057,512.5686774253845,321.6467432975769,351.04017210006714,243.5919315814972,595.6613528728485,457.3389322757721,2000.0,826.7443950176239,2000.0,2000.0,533.2209856510162
vivify=0,11358.279755592346,690.5519837061564,287.12295031547546,589.3946034908295,887.7977116107941,707.5932478904724,488.85948491096497,229.0150146484375,450.2103705406189,237.83340573310852,405.5336117744446,615.1768963336945,344.3324513435364,340.0242693424225,2000.0,2000.0,775.385737657547
warmup=0,13913.511764287949,860.9007842858632,641.7397191524506,318.2493760585785,283.363076210022,433.6793773174286,342.2282636165619,317.8134608268738,456.91603207588196,528.0729053020477,432.1599087715149,754.8241536617279,404.46549129486084,2000.0,2000.0,2000.0,2000.0
