Config,Score,Mean,7429e380834066c206394139c9e1e17d,3ed56242f55e3653dbceeb4a70221787,71a3dd6156463c0c55c4b38394faa753,16c27d738cb45b766b8823ca4f428cf0,e99e266b422513a2898c13898a1de501,c9f511adbb3d6e1b37b410f972f270c6,82d9e8d2cfea101dfe52c8359b7bb163,be18894105e006399cc018abc14b204f,f16b7329ef5728f722c291156b3b098e,1a1c9d1dc1ae7fcff92e3c3499864b75,170a7d847694ee4cfa5c421757672882,695e287a447fcdd924985a6e73057a38,38833d6a1ff6a56ef22bd2dc1e3fdde7,1b0f4ff7984b8d4cf2873200fb1680fb,94571e8a1081385029d1ecd53ffcdf8e,0bad2ce307bf5b68db26fa34e252c9d4
lucky=0,22508.097444295883,1406.7560902684927,80.48128151893616,140.28079438209534,28.919605493545532,2000,663.175032377243,742.5884726047516,2000,852.6522579193115,2000,2000,2000,2000,2000,2000,2000,2000
phase=0,23185.69832134247,1449.1061450839043,309.7194950580597,290.81657671928406,863.2890646457672,2000,174.78902101516724,678.8924980163574,2000,2000,2000,2000,2000,2000,2000,2000,2000,868.1916658878326
phasesaving=0,25532.439422607422,1595.7774639129639,411.61109137535095,2000,165.65105557441711,2000,16.44200038909912,938.7352752685547,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
preprocess=0,23524.922317028046,1470.3076448142529,91.8823504447937,575.4498088359833,488.8366858959198,998.1954984664917,673.0289351940155,697.5290381908417,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
probe=0,25429.55911397934,1589.3474446237087,228.4814760684967,410.50114583969116,2000,2000,132.41627264022827,658.1602194309235,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
randec=0,22085.739911794662,1380.3587444871664,178.39052033424377,733.661105632782,136.21444153785706,2000,633.6354439258575,656.1665222644806,2000,808.8334102630615,2000,938.83846783638,2000,2000,2000,2000,2000,2000
reluctant=0,25371.953092575073,1585.747068285942,2000,34.43559503555298,458.3692765235901,2000,162.534512758255,716.6137082576752,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
reorder=1,23021.176177978516,1438.8235111236572,12.032996654510498,730.1747913360596,497.9873158931732,873.7998430728912,95.72162246704102,811.4596085548401,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
reorder=0,22201.27928328514,1387.5799552053213,12.01666259765625,2000,707.8483197689056,871.2656445503235,68.78145360946655,699.9444365501404,989.2456538677216,2000,2000,2000,2000,2000,2000,2000,2000,852.1771123409271
rephase=0,24375.817671060562,1523.4886044412851,198.6540777683258,257.0973606109619,2000,2000,311.1244602203369,664.2822117805481,2000,2000,2000,944.6595606803894,2000,2000,2000,2000,2000,2000
