Config,Score,Mean,8751f8d1570611ba079dfd862b14c514,9e18c079efdc17ceade5c7a330b507d2,2b7e863462991fd008f9898eca63ebf4,bcd753d08904860fa93a794557185e04,b5cede38496a803dcfa155a5f4295c47,83cf6bfa7945b54e8c4ac659d1a4359e,35b19a3332597c1e5a3668f75ca72971,d5efaaee0197822c2676e45bac5068b2,f20c2aa0f9cced05a74031e0a3afaa1a,323223c497a22051f5a3ef508ccbaa7c,e966bddd11e46b735f8520f8304e368e,33cfa309d10e1d4fe30f1302807f42ce,97a17306a2882e0fd1aa3981a267df0d,177a4ad8fd76ad8240387998112c3168,0945c95ba9b82c32d12fc9d9e5229c5a,2537f10a45d7ab430334dc1de6bfbdf0
lucky=0,10469.154643774033,654.322165235877,173.0168330669403,173.21303009986877,175.314124584198,2000,589.1486613750458,375.5164713859558,528.7894515991211,160.51024746894836,509.0599875450134,804.1569471359253,168.56576895713806,400.22847175598145,2000,101.63286828994751,2000,310.00178050994873
phase=0,7785.627739906311,486.60173374414444,96.61506032943726,93.00877904891968,162.69157528877258,717.7801048755646,200.62697672843933,124.54611659049988,264.9203119277954,386.99620723724365,114.09260725975037,169.49010634422302,197.00019907951355,268.0252194404602,2000,265.96470642089844,2000,723.8697693347931
phasesaving=0,15043.39476966858,940.2121731042862,121.03162240982056,129.24779629707336,2000,2000,282.8072409629822,203.1982457637787,2000,344.2715046405792,166.04928731918335,586.171995639801,2000,138.54041266441345,2000,692.8883264064789,2000,379.1883375644684
preprocess=0,10780.087626218796,673.7554766386747,439.1462574005127,554.8485209941864,513.4983270168304,2000,127.09271907806396,418.396363735199,169.6107804775238,479.72092032432556,318.8607711791992,140.58285427093506,513.5403621196747,183.8403661251068,2000,482.3768267631531,2000,438.5725567340851
probe=0,9065.262386322021,566.5788991451263,187.70022797584534,99.07830572128296,276.68306040763855,2000,153.75669765472412,108.26665449142456,130.92342948913574,609.6311905384064,107.86073446273804,878.8571424484253,111.22382998466492,70.49164938926697,2000,88.89224147796631,2000,241.89722228050232
randec=0,11995.511325597763,749.7194578498602,561.960684299469,359.15328907966614,107.14589381217957,2000,207.7683641910553,170.16372680664062,275.15172481536865,637.5893731117249,153.27738761901855,132.7280719280243,156.30028748512268,367.01448583602905,2000,867.2580366134644,2000,2000
reluctant=0,22144.61459493637,1384.0384121835232,384.7735936641693,360.2983717918396,2000,2000,2000,272.30384945869446,2000,168.85671424865723,2000,133.61704421043396,2000,2000,2000,824.7650215625763,2000,2000
reorder=1,9188.225472927094,574.2640920579433,201.04906749725342,140.01746892929077,177.7622151374817,2000,367.34199237823486,277.3955774307251,150.83072566986084,231.4199094772339,124.048513174057,296.7986795902252,152.53798627853394,354.7357876300812,2000,298.5403382778168,2000,415.7472114562988
reorder=0,10041.52019572258,627.5950122326612,100.90338730812073,96.88575267791748,125.85129284858704,2000,274.94088792800903,988.527720451355,199.2975332736969,210.68000984191895,99.89676284790039,194.95825386047363,837.932225227356,356.8661141395569,2000,178.1388864517212,2000,376.6413688659668
rephase=0,24432.36918091774,1527.0230738073587,170.11515712738037,2000,2000,2000,2000,2000,2000,2000,173.17750072479248,2000,828.7595765590668,556.6614439487457,2000,703.6555025577545,2000,2000
