Config,Score,Mean,8bcd3f3e269fa3c9516667b626d61602,8d31ec9edeac705ffd1b23f0cc4f3256,70ce0cff914efdc48f2a8fe86b5c68c6,8b797110ff321ee673eab1542069f192,f26f199564d6ffac7e700c2e66470ec0,5918f1624d4dfd964227356786a4e9ec,4a6a797c6b4a8055d10b74edda9a5e30,f57aba96bfed8f8a8b860eba1a8f1ea5,a811388cc92def6ef2d639dc062d456c,7d58f2f0c79cbcad0496ced184ba0680,deef4e5f8bf88393cea9589dff97d70c,a98d77ba9d3fbe8b7c55cbf75b2b43a8,a09a2d7397732447bdcc9651973767b7,71cf538aa0751d27f144de9c8d82e458,428da12ab8f5f68ae261e6468c2fef73,00b46ace235e3915a439c77a231a5657
probe=0,25844.0147793293,1615.2509237080812,44.12031126022339,442.86122155189514,850.5549139976501,2000,2000,2000,2000,2000,506.47833251953125,2000,2000,2000,2000,2000,2000,2000
randec=0,25771.868849992752,1610.741803124547,371.4905183315277,553.1031160354614,435.47330927848816,2000,2000,2000,2000,2000,411.8019063472748,2000,2000,2000,2000,2000,2000,2000
reluctant=0,29091.24944806099,1818.2030905038118,665.8578295707703,425.3916184902191,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
reorder=1,27295.52560377121,1705.9703502357006,288.2085077762604,68.37554025650024,938.9415557384491,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
reorder=0,29386.00649046898,1836.6254056543112,717.8178608417511,668.1886296272278,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
rephase=0,28863.529203891754,1803.9705752432346,199.02784490585327,664.5013589859009,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
restart=0,28543.418292045593,1783.9636432528496,348.81342935562134,194.60486268997192,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
stable=0,32000.0,2000.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
stable=2,28318.889457702637,1769.9305911064148,233.9725444316864,84.91691327095032,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
substitute=0,28494.32246184349,1780.8951538652182,284.4486322402954,209.8738296031952,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
sweep=0,26990.194623708725,1686.8871639817953,160.71064043045044,517.9094269275665,311.574556350708,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
target=0,32000.0,2000.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
target=2,28766.314168691635,1797.8946355432272,108.43253421783447,2000,657.8816344738007,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
transitive=0,28646.20817899704,1790.388011187315,103.43702363967896,542.7711553573608,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
vivify=0,27688.480481147766,1730.5300300717354,183.55089592933655,775.319885969162,729.6096992492676,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
warmup=0,28972.8504178524,1810.803151115775,770.6927361488342,202.1576817035675,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
