Config,Score,Mean,0a02751cacf5e1cdfcc842a7f220199f,1545660e72158c7e90da5ad4c877a124,62c763bdf8d351b15df3a4d62a03eba0,f70788e8446c1bc42684316de0a6c164,e06be7a69dbd6d6866a2799cd40c4bfe,31bb67fe67e57dbeb8c4819b01892588,8d4b50ec0cf99097e9ab0835937afee5,282a02a1743eb47c6b340e52ecce40a2,812926407774771b3bd9885f7bfa4841,88e89266e58f1f125ebc4e0f66e2c060,c6e03256680b96b52e3345a497333c2b,26b648475cfd06695a17ac95f4469744,778e0fd8f034b7cfd539b1b523ed4c4a,38ca761a5808eace8bc8f1fcfdb5b5a8,0ae0c5a4fb9001d63669a0aa5b592167,5ab3040d8617bf9f4d4cef4e56dcfd03
lucky=0,15516.149488687515,969.7593430429697,0.6816937923431396,1.0322508811950684,3.657015085220337,4.568426847457886,4.610067844390869,16.246911764144897,26.1824049949646,2000,2000,657.885933637619,2000,801.2847838401794,2000,2000,2000,2000
phase=0,9969.81549692154,623.1134685575962,0.7291805744171143,1.086343765258789,1.105924367904663,4.943437576293945,4.997489929199219,17.365636587142944,28.3038010597229,83.59018921852112,127.45289826393127,366.52478528022766,761.5804190635681,572.1353912353516,2000,2000,2000,2000
phasesaving=0,9687.418319225311,605.463644951582,0.7267599105834961,1.0906801223754883,1.1116836071014404,4.943191289901733,4.996729373931885,17.3792245388031,28.326314687728882,83.40715742111206,126.37530827522278,366.84521651268005,480.87470507621765,571.3413484096527,2000,2000,2000,2000
preprocess=0,12940.678406238556,808.7924003899097,3.9930596351623535,2.676332473754883,1.1026287078857422,14.040399551391602,8.59537935256958,80.35000348091125,140.81062650680542,84.38159036636353,126.29276251792908,2000,478.43562364578247,2000,2000,2000,2000,2000
probe=0,23503.798577785492,1468.9874111115932,2000,2000,1.118363380432129,2000,2000,2000,2000,85.0291109085083,126.63650178909302,2000,528.6842355728149,762.3303661346436,2000,2000,2000,2000
randec=0,9664.16785621643,604.0104910135269,0.739454984664917,1.084003210067749,1.109811544418335,4.935872793197632,4.995459079742432,17.39372229576111,28.28752064704895,83.61637449264526,127.63680744171143,366.8981680870056,456.20578932762146,571.2648723125458,2000,2000,2000,2000
reluctant=0,9652.208289384842,603.2630180865526,0.7278056144714355,1.085136890411377,1.1057453155517578,4.935493230819702,5.001466989517212,17.377597093582153,28.298161506652832,83.6324348449707,126.37757682800293,366.6688039302826,446.4482753276825,570.5497918128967,2000,2000,2000,2000
reorder=1,9766.204096317291,610.3877560198307,0.7306344509124756,1.08624267578125,1.1106176376342773,4.9412384033203125,4.9908411502838135,17.365964889526367,28.33403205871582,83.53076124191284,126.21253514289856,366.26584577560425,561.0762779712677,570.5591049194336,2000,2000,2000,2000
reorder=0,9914.864188432693,619.6790117770433,0.7263648509979248,1.0853753089904785,1.105215311050415,4.932054042816162,4.9905922412872314,17.39520502090454,28.312707662582397,83.41605758666992,126.29739379882812,365.76525592803955,709.8350608348846,571.0029058456421,2000,2000,2000,2000
rephase=0,9673.657933473587,604.6036208420992,0.7304809093475342,1.0837922096252441,1.1062602996826172,4.931823253631592,4.983760356903076,17.397100925445557,28.304016590118408,83.4862117767334,126.48547458648682,366.36429953575134,467.82522320747375,570.9594898223877,2000,2000,2000,2000
restart=0,9706.251727819443,606.6407329887152,0.7441298961639404,1.094611406326294,1.1193649768829346,4.936980724334717,4.997947454452515,17.383729457855225,28.30832028388977,84.28888845443726,127.63518452644348,366.7137830257416,498.680050611496,570.3487370014191,2000,2000,2000,2000
stable=0,9847.31949687004,615.4574685543776,0.7341594696044922,1.0914161205291748,1.104752779006958,4.939257860183716,4.996937990188599,17.34346032142639,28.32613515853882,84.44142389297485,126.3560004234314,366.2270758152008,641.7259206771851,570.0329563617706,2000,2000,2000,2000
stable=2,9673.132001638412,604.5707501024008,0.7393903732299805,1.0954742431640625,1.1031651496887207,4.958827018737793,4.994481801986694,17.38204264640808,28.309438228607178,83.26501941680908,127.76346230506897,366.61910128593445,465.85693764686584,571.0446615219116,2000,2000,2000,2000
substitute=0,9874.647855997086,617.1654909998178,0.735694408416748,1.0843522548675537,1.1040968894958496,4.930014133453369,4.997720718383789,17.430858612060547,28.324357748031616,84.34732246398926,126.11520862579346,409.76382398605347,573.6274633407593,622.1869428157806,2000,2000,2000,2000
sweep=0,9740.019907712936,608.7512442320585,0.7348639965057373,1.093402624130249,1.1042792797088623,4.961259603500366,5.004889726638794,17.3929660320282,28.36226725578308,83.5647325515747,127.5670874118805,360.02078008651733,547.7714996337891,562.4418795108795,2000,2000,2000,2000
target=0,9638.537508249283,602.4085942655802,0.7262377738952637,1.0901777744293213,1.1074676513671875,4.942737102508545,4.991441488265991,17.409270763397217,28.33005380630493,83.16711473464966,127.63123607635498,367.04770398139954,431.07700204849243,571.0170650482178,2000,2000,2000,2000
target=2,9675.182886362076,604.6989303976297,0.7275631427764893,1.085522174835205,1.1237053871154785,4.935549259185791,4.991145133972168,17.394468307495117,28.331076622009277,84.51105999946594,126.26028037071228,366.52712750434875,468.7063548564911,570.5890336036682,2000,2000,2000,2000
transitive=0,9758.78419804573,609.9240123778582,0.7277176380157471,1.0900282859802246,1.1034369468688965,4.92677116394043,4.998415470123291,17.38611602783203,28.306646823883057,83.58187341690063,126.53641414642334,366.02121329307556,551.7541222572327,572.3514425754547,2000,2000,2000,2000
vivify=0,9849.523936271667,615.5952460169792,0.7392678260803223,1.0861434936523438,1.1051485538482666,4.939151287078857,4.989504337310791,17.384442567825317,28.277955293655396,83.35346817970276,127.35854458808899,366.9374740123749,643.0087506771088,570.3440854549408,2000,2000,2000,2000
warmup=0,9690.178224563599,605.6361390352249,0.7425682544708252,1.0980944633483887,1.1024775505065918,4.942759037017822,4.99859094619751,17.384366035461426,28.30646800994873,83.55330228805542,127.71010899543762,367.1622402667999,481.1215560436249,572.0556926727295,2000,2000,2000,2000
