Config,Score,Mean,8b31606e10656ff7eb2936262b647443,3ff114cc7bee4f39fa56a0325e605c2d,9811b95bfd5888014d27e6dd384ff502,945d67baeb7860df648ab6ef4782d5ed,bd19da88800086971e554e9d66bc641d,7b9d8b9b31b530effd634f5a8f1f4411,db4a0d4ba26c46d66ad6cdcb0645a4d9,5cb1ca8fe8a9d9125ea9accd498445f1,e84b00b1f134e0e071a2baf54cfc90e8,7b4622a3ab523264378a560199de47ed,4611cd26b441b8c5866e4a2c5a7952dc,8270ae50e6f2881136868db6d3a88eee,953e9ff735bdf5ada27b0ab2b908b6af,aa4a861240c0c39b5aa44602133ae5e1,2a4680a801ad32ab8768030250daf0c8,ea827f81bd0e9735739adc0d9da1b446
phase=0,19757.904195547104,1234.869012221694,229.4548602104187,571.9487063884735,517.6754019260406,341.9732868671417,648.4873313903809,742.9290947914124,858.988746881485,899.941545009613,946.5052220821381,2000,2000,2000,2000,2000,2000,2000
phasesaving=0,18488.990267276764,1155.5618917047977,11.054478406906128,521.4133858680725,543.8601832389832,839.099273443222,685.6885163784027,657.8985545635223,823.6657392978668,811.3831632137299,746.9759821891785,847.9509906768799,2000,2000,2000,2000,2000,2000
preprocess=0,20095.981412887573,1255.9988383054733,157.3602225780487,466.9255154132843,510.10701870918274,2000,647.670743227005,781.4240543842316,769.6187033653259,907.3549008369446,929.433155298233,926.0870990753174,2000,2000,2000,2000,2000,2000
probe=0,18121.90986585617,1132.6193666160107,504.6956925392151,476.6741261482239,516.3818426132202,212.56408715248108,573.938764333725,624.8125805854797,876.3558392524719,704.5923316478729,786.7352578639984,845.1593437194824,2000,2000,2000,2000,2000,2000
randec=0,18045.71315717697,1127.8570723235607,108.16526937484741,522.1155872344971,530.2505104541779,452.2294738292694,583.9724969863892,650.0645205974579,800.8161838054657,819.4395177364349,756.7944376468658,821.8651595115662,2000,2000,2000,2000,2000,2000
reluctant=0,23242.485091924667,1452.6553182452917,596.9462442398071,684.9431953430176,611.7258026599884,813.5286836624146,711.9790034294128,880.6097400188446,2000,942.7524225711823,2000,2000,2000,2000,2000,2000,2000,2000
reorder=1,20438.804980039597,1277.4253112524748,76.8471188545227,523.4235401153564,535.7066738605499,2000,767.6594352722168,831.4783909320831,990.5202150344849,847.5773279666901,888.795717716217,976.7965602874756,2000,2000,2000,2000,2000,2000
reorder=0,18053.554332733154,1128.3471457958221,69.99918127059937,457.45687794685364,516.9318335056305,350.8882803916931,672.4852478504181,770.2027757167816,715.2934532165527,778.8649663925171,800.4281449317932,921.0035715103149,2000,2000,2000,2000,2000,2000
rephase=0,22980.657938480377,1436.2911211550236,508.36613178253174,498.23309803009033,603.9323816299438,2000,705.7135801315308,778.2324204444885,908.0564293861389,978.1238970756531,2000,2000,2000,2000,2000,2000,2000,2000
restart=0,24860.208708524704,1553.763044282794,243.43497347831726,478.08896684646606,617.7591452598572,2000,770.5264341831207,750.3991887569427,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
stable=0,21923.30388212204,1370.2064926326275,127.78582286834717,642.1138160228729,853.0207056999207,2000,930.9864988327026,876.9827439785004,893.6556923389435,2000,849.4731295108795,749.285472869873,2000,2000,2000,2000,2000,2000
stable=2,17833.66539621353,1114.6040872633457,218.39799880981445,374.8190269470215,437.3892138004303,953.5609805583954,485.7226896286011,594.4129874706268,666.0508651733398,704.486634016037,606.1581692695618,792.6668305397034,2000,2000,2000,2000,2000,2000
substitute=0,18605.51633787155,1162.844771116972,244.32527208328247,464.5252707004547,488.00296235084534,523.0563220977783,617.3558149337769,802.7175250053406,773.7992494106293,796.0751326084137,912.8919718265533,982.7668168544769,2000,2000,2000,2000,2000,2000
sweep=0,18750.36810541153,1171.8980065882206,285.1023631095886,479.9273889064789,506.9624512195587,636.4312386512756,627.5962152481079,671.7520816326141,835.4081325531006,846.0391352176666,926.7102801799774,934.438818693161,2000,2000,2000,2000,2000,2000
target=0,17493.725746393204,1093.3578591495752,172.75201082229614,423.936931848526,498.43191623687744,254.91929984092712,550.6769368648529,666.4639227390289,764.0422217845917,679.4270572662354,726.5095419883728,756.5659070014954,2000,2000,2000,2000,2000,2000
target=2,21372.53685235977,1335.7835532724857,275.44016766548157,530.0082905292511,555.2691230773926,2000,564.797858953476,744.2784729003906,957.7504634857178,824.8729166984558,920.1195590496063,2000,2000,2000,2000,2000,2000,2000
transitive=0,19861.920191287994,1241.3700119554996,292.22520875930786,508.8421359062195,583.4234821796417,356.0201861858368,668.3066236972809,708.4699862003326,949.7562675476074,845.866902589798,949.0093982219696,2000,2000,2000,2000,2000,2000,2000
vivify=0,18707.859836816788,1169.2412398010492,76.413414478302,517.4700138568878,549.0296194553375,592.9905626773834,659.7376461029053,783.0017137527466,795.7458066940308,890.636449098587,857.0167179107666,985.8178927898407,2000,2000,2000,2000,2000,2000
warmup=0,18357.903820991516,1147.3689888119698,80.69415855407715,509.9908173084259,635.6074478626251,167.7210636138916,594.729421377182,833.9482772350311,878.0544023513794,768.4342572689056,912.8184921741486,975.9054832458496,2000,2000,2000,2000,2000,2000
