Config,Score,Mean,f86dad4ba35369eb720a0c9ddc45037a,79b9e24dd9af185dbec18c9b0a32b1e2,9a413c250f82a93d513d4092ba654ee2,30e680ded3b9be6be0b5baac273f2646,cfc53adcc8ed18ca161bb6f8bc02b237,075ca0a158690a55b7254d9aaee2e103,8fcc57f6c75cb2ac48d19e3038ad3c6c,00f4aca773e5675f35263dcd46b15bde,9f3ef12b5b68f92eb9265721ea73bb03,25b7a69d04a5029cf4ba2f483b5bec45,1b02025658c2a23e1fd3ce0a9c3633cb,a8dc92a9c0434576b47c82c94ab5c446,3f341c57c37d86350af5233b8e15e52e,711ff7681711949f44b07a0d530dc729,305ad7d773d6c72be9b1efbf7bf482e0,558113ad4d50130351db8c426230a50f
restart=0,12293.91529750824,768.369706094265,19.98340082168579,188.69392704963684,507.7635815143585,477.8975319862366,494.55117297172546,447.178795337677,430.4385483264923,155.49662613868713,362.4533574581146,138.9614245891571,121.33720588684082,2000,2000,949.1597254276276,2000,2000
stable=0,18921.112667560577,1182.569541722536,2000,2000,459.22611904144287,473.9562361240387,485.4061472415924,462.2337348461151,473.23604106903076,835.4262022972107,852.9345135688782,731.1417882442474,147.55188512802124,2000,2000,2000,2000,2000
stable=2,13810.222420930862,863.1389013081789,13.547472715377808,47.48744225502014,421.9091260433197,418.5358326435089,453.3328549861908,417.5791015625,522.0107777118683,72.77852892875671,976.554306268692,547.0509133338928,945.7716927528381,2000,2000,2000,973.6643717288971,2000
substitute=0,13792.933409690857,862.0583381056786,73.8736252784729,129.6016480922699,416.5344936847687,516.3122906684875,439.76530146598816,545.8348755836487,468.04713010787964,223.19175386428833,487.48625922203064,303.4965555667877,188.78947615623474,2000,2000,2000,2000,2000
sweep=0,12148.783571481705,759.2989732176065,17.312233924865723,61.46191191673279,421.25027346611023,422.4790189266205,414.18774604797363,420.71235060691833,483.2100760936737,2000,909.3139951229095,794.1099827289581,382.2546639442444,986.0167112350464,2000,958.5114862918854,946.0638966560364,931.8992245197296
target=0,15139.751278877258,946.2344549298286,170.5277247428894,245.95211744308472,505.1251971721649,439.69549560546875,442.31284260749817,449.45478439331055,455.55665159225464,2000,424.7443525791168,374.13321447372437,687.5158531665802,944.7330451011658,2000,2000,2000,2000
target=2,13234.10734462738,827.1317090392113,46.14704751968384,83.11072969436646,438.9001216888428,449.83963441848755,438.5773575305939,444.3118357658386,433.9515960216522,13.792238473892212,344.48131275177,966.7836928367615,583.7228589057922,990.4889190196991,2000,2000,2000,2000
transitive=0,14019.348783254623,876.209298953414,20.540689706802368,246.80089354515076,463.2331519126892,567.9940149784088,433.1058361530304,414.56024718284607,436.11113119125366,131.54099869728088,783.8698225021362,858.8860802650452,688.855562210083,2000,2000,2000,2000,973.8503549098969
vivify=0,13591.818561792374,849.4886601120234,88.15762090682983,58.42599439620972,449.1569414138794,488.0283274650574,439.89136385917664,521.658536195755,459.6845953464508,21.16751194000244,751.4756574630737,356.11935544013977,972.8631772994995,2000,2000,2000,2000,985.1894800662994
warmup=0,12513.446805477142,782.0904253423214,59.408037185668945,81.03013467788696,427.510972738266,430.84798216819763,450.2069149017334,450.8882563114166,433.8082900047302,256.1657407283783,378.75035095214844,133.8439018726349,434.27088141441345,2000,2000,2000,976.7153425216675,2000
