Config,Score,Mean,18babbd2835b8a37c6299f8b0301c7c9,8ade10da9731ce31d103c1687ff40a3d,41c39c9a2d75ca50b603ea7c3d86106a,eca3692344e30ae83a49158b5baf3372,1d1af993697599892804df5878d58979,4fd2e4e6ecb4fe8d3f9e1fda81633469,fab0db1ab0dd5baa3215aab51ab69355,c9f7ca549a6773bea4628e2c66f597c6,d89718e39ff99638c2882b47988120cd,96e01064ac3b644143278c21859e201f,82fe0a5b2467d6e5299c315da8b16ec5,c115ebeec47bb82fa7f9850a632ec94a,6e9cae5108bd423666c73aaace197769,d8fa4265b93d0931ba6484e3cc0d7ab1,f08b3567642ea029452fff2c1d10c132,19c6a29181bee2f3aa03bfb5c5d693d0
randec=0,4854.505016326904,303.4065635204315,8.820351362228394,7.882632255554199,4.667865514755249,4.512073040008545,4.984297275543213,8.639331579208374,44.67185616493225,42.21440529823303,25.012242078781128,140.53923177719116,26.13985824584961,16.96846055984497,129.1315815448761,2000.0,2000.0,390.32082962989807
reluctant=0,6407.743765592575,400.48398534953594,7.709670066833496,6.215210676193237,4.374032497406006,4.0421998500823975,73.0069990158081,10.629081010818481,7.183512926101685,52.966514348983765,19.82867431640625,30.121267795562744,21.725473880767822,4.610112190246582,165.3310170173645,2000.0,2000.0,2000.0
reorder=1,6612.77006316185,413.2981289476156,5.316368579864502,5.865868330001831,6.311943054199219,6.445881128311157,6.876964807510376,22.570768117904663,21.223814725875854,30.400423288345337,28.46476650238037,93.48267006874084,59.77643966674805,175.954735994339,150.07941889762878,2000.0,2000.0,2000.0
reorder=0,5658.753410100937,353.67208813130856,5.329442262649536,5.867279291152954,6.31265664100647,6.45216965675354,6.873260974884033,37.25648307800293,19.783658266067505,44.22069263458252,27.347392559051514,38.953718423843384,121.71981120109558,18.802780866622925,529.298707485199,790.535356760025,2000.0,2000.0
rephase=0,12956.3849568367,809.7740598022938,132.63272380828857,318.8307776451111,8.707732200622559,2000.0,5.3769145011901855,22.267085552215576,5.232156991958618,212.86770749092102,2000.0,36.46869897842407,148.53182935714722,65.46933031082153,2000.0,2000.0,2000.0,2000.0
restart=0,7600.866324663162,475.05414529144764,6.055145025253296,4.96962571144104,8.357514142990112,380.4231197834015,94.068678855896,4.8843159675598145,5.335097074508667,22.685577630996704,77.58950352668762,51.23953342437744,766.4104976654053,57.04704833030701,121.80066752433777,2000.0,2000.0,2000.0
stable=0,29199.371549606323,1824.9607218503952,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,489.0962128639221,2000.0,710.2753367424011
stable=2,6558.589881658554,409.91186760365963,5.486274719238281,4.112216949462891,4.210731744766235,29.590638160705566,78.82391858100891,5.455040693283081,4.284176826477051,18.077720642089844,4.46706485748291,74.71283888816833,4.14848780632019,290.65627121925354,34.56450057029724,2000.0,2000.0,2000.0
substitute=0,6390.126698732376,399.3829186707735,19.191126346588135,28.25176763534546,5.94290018081665,28.161790370941162,6.8242034912109375,77.62626147270203,18.95305299758911,8.635584831237793,5.041672468185425,40.839061975479126,58.639283180236816,52.12531781196594,39.894675970077515,2000.0,2000.0,2000.0
sweep=0,6949.805920124054,434.3628700077534,4.98973274230957,5.549578905105591,5.918606758117676,6.060418367385864,6.861076593399048,21.43036437034607,39.74179029464722,36.3711884021759,67.27330565452576,69.94660782814026,96.41136741638184,229.20407104492188,360.0478117465973,2000.0,2000.0,2000.0
target=0,14271.504501581192,891.9690313488245,806.7172949314117,646.9932508468628,4.925565481185913,804.7804653644562,7.857843399047852,13.617524862289429,21.069543838500977,630.5491678714752,681.667201757431,2000.0,2000.0,232.74184250831604,2000.0,2000.0,2000.0,420.58480072021484
target=2,6529.755522489548,408.10972015559673,5.3312904834747314,29.546592950820923,4.477085590362549,4.597923755645752,32.12047219276428,8.049448490142822,61.82600665092468,19.499433994293213,24.354990482330322,157.77009344100952,50.61225175857544,90.54141068458557,41.02852201461792,2000.0,2000.0,2000.0
transitive=0,6871.941754579544,429.4963596612215,5.268214225769043,5.737696170806885,6.2258734703063965,6.3542726039886475,7.154979467391968,35.079355239868164,8.98789644241333,212.74678325653076,26.98737597465515,236.68048882484436,18.865296125411987,18.230923175811768,283.6225996017456,2000.0,2000.0,2000.0
vivify=0,6585.687027931213,411.60543924570084,4.904407739639282,25.623169422149658,4.222289562225342,27.467544078826904,8.4785635471344,7.6649696826934814,282.5226786136627,24.663978338241577,22.48483419418335,78.72464680671692,23.850481748580933,40.52199172973633,34.557472467422485,2000.0,2000.0,2000.0
warmup=0,6819.015907049179,426.1884941905737,8.282309770584106,58.38011622428894,6.567824363708496,4.056608200073242,6.229275703430176,5.706286907196045,20.11818265914917,100.01393151283264,28.998878479003906,365.3925313949585,27.205307483673096,44.67740535736084,143.38724899291992,2000.0,2000.0,2000.0
